"startyr","fuel.general","overnightcategory","plntcode","capacityfactor","fill","EPM"
1893,"biomass","biomass",NA,0.5544,1,0.5544
1893,"coal","coal",NA,0.5648,1,0.5648
1893,"gas","CC",NA,NA,1,NA
1893,"gas","CT",NA,NA,1,NA
1893,"gas","FC",NA,NA,1,NA
1893,"gas","ST",NA,NA,1,NA
1893,"geothermal","geothermal",NA,0.7444,1,0.7444
1893,"MSW","MSW",NA,0.6942,1,0.6942
1893,"nuclear","nuclear",NA,0.9168,1,0.9168
1893,"petroleum","CC",NA,NA,1,NA
1893,"petroleum","CT",NA,NA,1,NA
1893,"petroleum","ST",NA,NA,1,NA
1893,"solar","PV",NA,0.2595,1,0.2595
1893,"solar","solar_thermal",NA,0.21475,1,0.21475
1893,"water","hydro","346",0.667548775425488,0,NA
1893,"wind","wind",NA,0.3396,1,0.3396
1896,"biomass","biomass",NA,0.5544,1,0.5544
1896,"coal","coal",NA,0.5648,1,0.5648
1896,"gas","CC",NA,NA,1,NA
1896,"gas","CT",NA,NA,1,NA
1896,"gas","FC",NA,NA,1,NA
1896,"gas","ST",NA,NA,1,NA
1896,"geothermal","geothermal",NA,0.7444,1,0.7444
1896,"MSW","MSW",NA,0.6942,1,0.6942
1896,"nuclear","nuclear",NA,0.9168,1,0.9168
1896,"petroleum","CC",NA,NA,1,NA
1896,"petroleum","CT",NA,NA,1,NA
1896,"petroleum","ST",NA,NA,1,NA
1896,"solar","PV",NA,0.2595,1,0.2595
1896,"solar","solar_thermal",NA,0.21475,1,0.21475
1896,"water","hydro","3651",0.316239641467952,0,NA
1896,"wind","wind",NA,0.3396,1,0.3396
1898,"biomass","biomass",NA,0.5544,1,0.5544
1898,"coal","coal",NA,0.5648,1,0.5648
1898,"gas","CC",NA,NA,1,NA
1898,"gas","CT",NA,NA,1,NA
1898,"gas","FC",NA,NA,1,NA
1898,"gas","ST",NA,NA,1,NA
1898,"geothermal","geothermal",NA,0.7444,1,0.7444
1898,"MSW","MSW",NA,0.6942,1,0.6942
1898,"nuclear","nuclear",NA,0.9168,1,0.9168
1898,"petroleum","CC",NA,NA,1,NA
1898,"petroleum","CT",NA,NA,1,NA
1898,"petroleum","ST",NA,NA,1,NA
1898,"solar","PV",NA,0.2595,1,0.2595
1898,"solar","solar_thermal",NA,0.21475,1,0.21475
1898,"water","hydro","2584",0.109018264840183,0,NA
1898,"water","hydro","2724",0.294192655202565,0,NA
1898,"water","hydro","6453",0.499550297495503,0,NA
1898,"wind","wind",NA,0.3396,1,0.3396
1899,"biomass","biomass",NA,0.5544,1,0.5544
1899,"coal","coal",NA,0.5648,1,0.5648
1899,"gas","CC",NA,NA,1,NA
1899,"gas","CT",NA,NA,1,NA
1899,"gas","FC",NA,NA,1,NA
1899,"gas","ST",NA,NA,1,NA
1899,"geothermal","geothermal",NA,0.7444,1,0.7444
1899,"MSW","MSW",NA,0.6942,1,0.6942
1899,"nuclear","nuclear",NA,0.9168,1,0.9168
1899,"petroleum","CC",NA,NA,1,NA
1899,"petroleum","CT",NA,NA,1,NA
1899,"petroleum","ST",NA,NA,1,NA
1899,"solar","PV",NA,0.2595,1,0.2595
1899,"solar","solar_thermal",NA,0.21475,1,0.21475
1899,"water","hydro","361",0.250334272735921,0,NA
1899,"wind","wind",NA,0.3396,1,0.3396
1900,"biomass","biomass",NA,0.5544,1,0.5544
1900,"coal","coal",NA,0.5648,1,0.5648
1900,"gas","CC",NA,NA,1,NA
1900,"gas","CT",NA,NA,1,NA
1900,"gas","FC",NA,NA,1,NA
1900,"gas","ST",NA,NA,1,NA
1900,"geothermal","geothermal",NA,0.7444,1,0.7444
1900,"MSW","MSW",NA,0.6942,1,0.6942
1900,"nuclear","nuclear",NA,0.9168,1,0.9168
1900,"petroleum","CC",NA,NA,1,NA
1900,"petroleum","CT",NA,NA,1,NA
1900,"petroleum","ST",NA,NA,1,NA
1900,"solar","PV",NA,0.2595,1,0.2595
1900,"solar","solar_thermal",NA,0.21475,1,0.21475
1900,"water","hydro","224",0.907815387856056,0,NA
1900,"wind","wind",NA,0.3396,1,0.3396
1901,"biomass","biomass",NA,0.5544,1,0.5544
1901,"coal","coal",NA,0.5648,1,0.5648
1901,"gas","CC",NA,NA,1,NA
1901,"gas","CT",NA,NA,1,NA
1901,"gas","FC",NA,NA,1,NA
1901,"gas","ST",NA,NA,1,NA
1901,"geothermal","geothermal",NA,0.7444,1,0.7444
1901,"MSW","MSW",NA,0.6942,1,0.6942
1901,"nuclear","nuclear",NA,0.9168,1,0.9168
1901,"petroleum","CC",NA,NA,1,NA
1901,"petroleum","CT",NA,NA,1,NA
1901,"petroleum","ST",NA,NA,1,NA
1901,"solar","PV",NA,0.2595,1,0.2595
1901,"solar","solar_thermal",NA,0.21475,1,0.21475
1901,"water","hydro","2734",0.410958904109589,0,NA
1901,"water","hydro","6231",0.636478050767021,0,NA
1901,"wind","wind",NA,0.3396,1,0.3396
1902,"biomass","biomass",NA,0.5544,1,0.5544
1902,"coal","coal",NA,0.5648,1,0.5648
1902,"gas","CC",NA,NA,1,NA
1902,"gas","CT",NA,NA,1,NA
1902,"gas","FC",NA,NA,1,NA
1902,"gas","ST",NA,NA,1,NA
1902,"geothermal","geothermal",NA,0.7444,1,0.7444
1902,"MSW","MSW",NA,0.6942,1,0.6942
1902,"nuclear","nuclear",NA,0.9168,1,0.9168
1902,"petroleum","CC",NA,NA,1,NA
1902,"petroleum","CT",NA,NA,1,NA
1902,"petroleum","ST",NA,NA,1,NA
1902,"solar","PV",NA,0.2595,1,0.2595
1902,"solar","solar_thermal",NA,0.21475,1,0.21475
1902,"water","hydro","214",0.2646300332088,0,NA
1902,"water","hydro","348",0.722585443475854,0,NA
1902,"wind","wind",NA,0.3396,1,0.3396
1903,"biomass","biomass",NA,0.5544,1,0.5544
1903,"coal","coal",NA,0.5648,1,0.5648
1903,"gas","CC",NA,NA,1,NA
1903,"gas","CT",NA,NA,1,NA
1903,"gas","FC",NA,NA,1,NA
1903,"gas","ST",NA,NA,1,NA
1903,"geothermal","geothermal",NA,0.7444,1,0.7444
