"overnightcategory","fuel.general","EPM","fill"
"biomass","biomass",0.5544,1
"coal","coal",0.5648,1
"gas","CC",0.5254,1
"gas","CT",0.075333333,1
"gas","ST",0.1124,1
"geothermal","geothermal",0.7444,1
"hydro","water",0.3908,1
"MSW","MSW",0.6942,1
"nuclear","nuclear",0.9168,1
"petroleum","CT",0.016111111,1
"petroleum","ST",0.1248,1
"PV","solar",0.2595,1
"solar_thermal","solar",0.21475,1
"wind","wind",0.3396,1
