"yr","plntcode","overnightcategory","fuel.general","capacityfactor"
1990,"346","hydro","water",0.407106164383562
1990,"3651","hydro","water",0.240696347031963
1990,"2724","hydro","water",0.348213996567246
1990,"6453","hydro","water",0.565068493150685
1990,"361","hydro","water",0.185823344748858
1990,"2734","hydro","water",0.25
1990,"6231","hydro","water",0.406856449771689
1990,"214","hydro","water",0.111187214611872
1990,"224","hydro","water",1
1990,"348","hydro","water",0.508181126331811
1990,"3779","hydro","water",0.431662100456621
1990,"541","hydro","water",0.85697298325723
1990,"7147","hydro","water",0.418264840182648
1990,"717","hydro","water",0.467377419004131
1990,"253","hydro","water",0.564193302891933
1990,"343","hydro","water",0.452054794520548
1990,"2733","hydro","water",0.725420947488584
1990,"3117","hydro","water",0.936579768893859
1990,"362","hydro","water",0.367437214611872
1990,"4010","hydro","water",0.63013698630137
1990,"6457","hydro","water",0.484446347031963
1990,"255","hydro","water",0.462043378995434
1990,"3668","hydro","water",0.28158295281583
1990,"3856","hydro","water",0.620243531202435
1990,"6207","hydro","water",0.318112633181126
1990,"1833","hydro","water",0.384474885844749
1990,"226","hydro","water",0.622488584474886
1990,"229","hydro","water",0.759211694571284
1990,"296","hydro","water",1
1990,"325","hydro","water",1
1990,"3259","hydro","water",0.480060882800609
1990,"340","hydro","water",0.637046140816026
1990,"3643","hydro","water",0.346556316590563
1990,"3710","hydro","water",0.648075668623614
1990,"3989","hydro","water",0.55810502283105
1990,"4121","hydro","water",0.493207762557078
1990,"472","hydro","water",0.968099949264333
1990,"6422","hydro","water",0.290816844241502
1990,"1490","hydro","water",0.790258751902588
1990,"233","hydro","water",0.419281859692819
1990,"2606","hydro","water",0.455559499944315
1990,"3042","hydro","water",0.665715372907154
1990,"475","hydro","water",0.686969993476843
1990,"6536","hydro","water",0.293897882938979
1990,"112","hydro","water",0.48340520886183
1990,"2580","hydro","water",0.243959284627093
1990,"3266","hydro","water",0.17501630789302
1990,"365","hydro","water",0.553310502283105
1990,"476","hydro","water",0.785340563165906
1990,"6388","hydro","water",1
1990,"1482","hydro","water",0.950199771689498
1990,"293","hydro","water",0.203570918949772
1990,"323","hydro","water",0.835017591137061
1990,"3272","hydro","water",0.513178589548453
1990,"3658","hydro","water",0.142887547403452
1990,"3866","hydro","water",1
1990,"701","hydro","water",0.378873124592303
1990,"830","hydro","water",0.245521601685985
1990,"1700","hydro","water",0.331963470319635
1990,"1701","hydro","water",1
1990,"1938","hydro","water",0.171695668271011
1990,"2557","hydro","water",1
1990,"342","hydro","water",0.202587519025875
1990,"3849","hydro","water",1
1990,"509","hydro","water",0.400114155251142
1990,"6521","hydro","water",0.213422754946728
1990,"6531","hydro","water",0.263936453576865
1990,"1704","hydro","water",0.458371385083714
1990,"2544","hydro","water",1
1990,"2579","hydro","water",0.609375
1990,"2707","hydro","water",0.695896907599213
1990,"3032","hydro","water",0.726343145827261
1990,"3772","hydro","water",0.602425648087749
1990,"3773","hydro","water",0.348992685607982
1990,"3971","hydro","water",1
1990,"3974","hydro","water",0.495304068078041
1990,"3998","hydro","water",1
1990,"6083","hydro","water",0.841609589041096
1990,"6119","hydro","water",1
1990,"818","hydro","water",1
1990,"1109","hydro","water",0.771808409436834
1990,"1488","hydro","water",1
1990,"1712","hydro","water",0.540496575342466
1990,"1756","hydro","water",0.293333333333333
1990,"2185","hydro","water",1
1990,"324","hydro","water",0.410288341795191
1990,"327","hydro","water",0.598102168949772
1990,"338","hydro","water",0.60074200913242
1990,"3412","hydro","water",0.157838660578387
1990,"3413","hydro","water",0.102076538377908
1990,"3656","hydro","water",0.199908675799087
1990,"3659","hydro","water",0.148972602739726
1990,"3846","hydro","water",1
1990,"4065","hydro","water",0.228767123287671
1990,"6047","hydro","water",0.70367199391172
1990,"1784","hydro","water",0.981430448535008
1990,"1900","hydro","water",1
1990,"2553","hydro","water",0.59341704718417
1990,"2595","hydro","water",0.703348554033486
1990,"289","hydro","water",0.167082997582595
1990,"3722","hydro","water",0.322995941146626
1990,"560","hydro","water",0.530517503805175
1990,"6513","hydro","water",0.420547945205479
1990,"2190","hydro","water",1
1990,"2538","hydro","water",0.391457382039574
1990,"2726","hydro","water",0.703926891854974
1990,"3848","hydro","water",0.536937377690802
1990,"4011","hydro","water",1
1990,"6484","hydro","water",0.938849808712822
1990,"712","hydro","water",1
1990,"832","hydro","water",0.634931506849315
1990,"115","hydro","water",0.768692922374429
1990,"1629","hydro","water",1
1990,"1714","hydro","water",0.338995433789954
1990,"1943","hydro","water",0.314155251141553
1990,"2194","hydro","water",1
1990,"241","hydro","water",0.502511415525114
1990,"2559","hydro","water",0.64482496194825
1990,"2560","hydro","water",1
1990,"2637","hydro","water",0.708434058554929
1990,"3257","hydro","water",0.622354408531551
1990,"357","hydro","water",1
1990,"3854","hydro","water",1
1990,"3868","hydro","water",1
1990,"6576","hydro","water",0.518772196854389
1990,"723","hydro","water",0.922141362252664
1990,"1634","hydro","water",1
1990,"1757","hydro","water",0.970319634703196
1990,"1898","hydro","water",0.522331621004566
1990,"2571","hydro","water",1
1990,"276","hydro","water",0.184809197651663
1990,"3044","hydro","water",1
1990,"3258","hydro","water",1
1990,"332","hydro","water",0.13048525655909
1990,"3716","hydro","water",0.531487823439878
1990,"3724","hydro","water",0.363979627678258
1990,"3725","hydro","water",0.444738480697385
1990,"3743","hydro","water",0.633561643835616
1990,"3860","hydro","water",1
1990,"4015","hydro","water",0.431626039889962
1990,"4017","hydro","water",0.30883072407045
1990,"6525","hydro","water",0.324058219178082
1990,"7802","hydro","water",0.386225266362253
1990,"820","hydro","water",1
1990,"826","hydro","water",0.28634703196347
1990,"829","hydro","water",0.381974885844749
1990,"986","hydro","water",1
1990,"1498","hydro","water",0.485659246575342
1990,"1637","hydro","water",0.676619577625571
1990,"1698","hydro","water",0.375797420174653
1990,"1705","hydro","water",0.397006595636733
1990,"1941","hydro","water",1
1990,"1947","hydro","water",0.450254654021777
1990,"2186","hydro","water",0.638648092656012
1990,"2555","hydro","water",1
1990,"278","hydro","water",0.134031694869729
1990,"3045","hydro","water",1
1990,"318","hydro","water",1
1990,"328","hydro","water",0.134208523592085
1990,"3290","hydro","water",1
1990,"3862","hydro","water",1
1990,"3973","hydro","water",0.59046803652968
1990,"474","hydro","water",0.51689497716895
1990,"721","hydro","water",0.368864155251142
1990,"1472","hydro","water",1
1990,"1607","hydro","water",1
1990,"230","hydro","water",0.132420091324201
1990,"2564","hydro","water",1
1990,"2607","hydro","water",0.379879216379437
