"primemover","fuel","fuel.general","overnight_d","overnight_c"
"ST","RFO","petroleum","ST","ST"
"ST","SC","coal","ST","coal"
"ST","SLW","biomass","conventional","biomass"
"ST","SNG","gas","ST","ST"
"ST","SUB","coal","ST","coal"
"ST","SUN","solar","solar_thermal","solar_thermal"
"ST","TDF","other",".","."
"ST","WC","coal","ST","coal"
"ST","WD","biomass","conventional","biomass"
"ST","WDL","biomass","conventional","biomass"
"ST","WDS","biomass","conventional","biomass"
"ST","WH","other",".","."
"ST","WO","petroleum","ST","ST"
"WS","WND","wind","wind","wind"
"WT","WND","wind","wind","wind"
