"yr","overnightcategory","fuel.general","marginal.cost"
2010,"conventional combustion turbine","oil",0.0546895779601407
2011,"conventional combustion turbine","oil",0.0794929320467933
2012,"conventional combustion turbine","oil",0.0849189573030934
2013,"conventional combustion turbine","oil",0.0793237479972884
2014,"conventional combustion turbine","oil",0.0729978564941101
1994,"nuclear","uranium",0.0437493680928763
1995,"nuclear","uranium",0.046644324873023
1996,"nuclear","uranium",0.0574573857417723
1997,"nuclear","uranium",0.0514528061638897
1998,"nuclear","uranium",0.047952528966064
1999,"nuclear","uranium",0.0449408590338168
2000,"nuclear","uranium",0.0415668346549499
2001,"nuclear","uranium",0.0374492231529659
2002,"nuclear","uranium",0.0376403194638562
2003,"nuclear","uranium",0.0383757677049088
2004,"nuclear","uranium",0.0436110323306384
2005,"nuclear","uranium",0.0481866492978321
2006,"nuclear","uranium",0.0605838615293096
2007,"nuclear","uranium",0.104791007843762
2008,"nuclear","uranium",0.143330239736519
2009,"nuclear","uranium",0.142288479207658
2010,"nuclear","uranium",0.150990351699883
2011,"nuclear","uranium",0.167185454371892
2012,"nuclear","uranium",0.162472025390179
2013,"nuclear","uranium",0.150737625973883
2014,"nuclear","uranium",0.131602682589879
2015,"nuclear","uranium",0.124449699362795
1991,"steam turbine","natural gas",0.0095609796493195
1992,"steam turbine","natural gas",0.0100930022472019
1993,"steam turbine","natural gas",0.0108405382042243
1994,"steam turbine","natural gas",0.00926473095417664
1995,"steam turbine","natural gas",0.00807807033061406
1996,"steam turbine","natural gas",0.0105497595462696
1997,"steam turbine","natural gas",0.0108749485806407
1998,"steam turbine","natural gas",0.00928045678920773
1999,"steam turbine","natural gas",0.00986379675517443
2000,"steam turbine","natural gas",0.0161456409612523
2001,"steam turbine","natural gas",0.0164324026519497
2002,"steam turbine","natural gas",0.0133128771343851
2003,"steam turbine","natural gas",0.0197970454016765
2004,"steam turbine","natural gas",0.021304122410772
2005,"steam turbine","natural gas",0.0279377036651485
2006,"steam turbine","natural gas",0.0240215483673368
2007,"steam turbine","natural gas",0.0237685168724361
2008,"steam turbine","natural gas",0.0285968208576876
2009,"steam turbine","natural gas",0.0170124784177728
2010,"steam turbine","natural gas",0.0165764595545135
2011,"steam turbine","natural gas",0.0149520663381987
2012,"steam turbine","natural gas",0.010950983824874
2013,"steam turbine","natural gas",0.0128997598760228
2014,"steam turbine","natural gas",0.014667854914462
1991,"steam turbine","oil",0.0114168757883649
1992,"steam turbine","oil",0.0112071495074898
1993,"steam turbine","oil",0.010441281697098
1994,"steam turbine","oil",0.0104526834694856
1995,"steam turbine","oil",0.0111167645359723
1996,"steam turbine","oil",0.0128888323126674
1997,"steam turbine","oil",0.0115044267274917
1998,"steam turbine","oil",0.00845252615588042
1999,"steam turbine","oil",0.00985123562415615
2000,"steam turbine","oil",0.0169286517673894
2001,"steam turbine","oil",0.0146387429736338
2002,"steam turbine","oil",0.0136886299348201
2003,"steam turbine","oil",0.016830382167967
2004,"steam turbine","oil",0.0166870670655765
2005,"steam turbine","oil",0.0241317531864551
2006,"steam turbine","oil",0.0271306352070461
2007,"steam turbine","oil",0.0292821369152448
2008,"steam turbine","oil",0.0486585990096443
2009,"steam turbine","oil",0.0320512085351726
2010,"steam turbine","oil",0.0418731125439625
2011,"steam turbine","oil",0.0607053893330869
2012,"steam turbine","oil",0.0645775567980285
2013,"steam turbine","oil",0.0604744826118759
2014,"steam turbine","oil",0.0550914936876111
