"cost.yr","deflator"
1947,7.85480366288996
1948,7.44078512092921
1949,7.45297571930858
1950,7.36793448589627
1951,6.87872506711067
1952,6.76087101730011
1953,6.67790459853533
1954,6.61657133518549
1955,6.50588934775273
1956,6.29067743940336
1957,6.08842371199134
1958,5.95411629753816
1959,5.87216267567842
1960,5.79160587074071
1961,5.72891284968375
1962,5.6590070446159
1963,5.59604141038577
1964,5.51140756874489
1965,5.41267379679144
1966,5.26458961822532
1967,5.11590998117237
1968,4.90755039455024
1969,4.67698634567844
1970,4.44236213215124
1971,4.22803316694166
1972,4.05301672789885
1973,3.84347677498362
1974,3.5258033614909
1975,3.22832925341477
1976,3.05983358147479
1977,2.88149972243178
1978,2.69299791806626
1979,2.48679725073246
1980,2.2807794358723
1981,2.08602372144307
1982,1.9642248970265
1983,1.89001652553054
1984,1.82506975842623
1985,1.76842270783557
1986,1.73337557583957
1987,1.6903730053358
1988,1.63323033231946
1989,1.57199156671882
1990,1.51580886344661
1991,1.46706187584248
1992,1.43441014122032
1993,1.40104853361017
1994,1.3718665501047
1995,1.34380403936472
1996,1.31973401134363
1997,1.29751245056628
1998,1.28358786249402
1999,1.26425640609289
2000,1.2361211610504
2001,1.20852151123396
2002,1.19026311921211
2003,1.16705581210329
2004,1.13582117187631
2005,1.10040905075763
2006,1.06756036978637
2007,1.03989623332092
2008,1.01982120861765
2009,1.01217253043133
2010,1
2011,0.979766666908663
2012,0.962019902483533
2013,0.946751816368479
2014,0.930074636980338
2015,0.920068811769812
2016,0.908490762909824
2017,0.89666994445478
