"year"	"fuel_1_general"	"fuel.price"
1991	"coal"	1.447
1992	"coal"	1.412
1993	"coal"	1.385
1994	"coal"	1.355
1995	"coal"	1.318
1996	"coal"	1.29
1997	"coal"	1.27
1998	"coal"	1.25
1999	"coal"	1.22
2000	"coal"	1.2
2001	"coal"	1.23
2002	"coal"	1.22
2003	"coal"	1.26
2004	"coal"	1.34
2005	"coal"	1.53
2006	"coal"	1.69
2007	"coal"	1.78
2008	"coal"	2.05
2009	"coal"	2.22
2010	"coal"	2.27
2011	"coal"	2.4
2012	"coal"	2.43
2013	"coal"	2.38
2014	"coal"	2.39
1991	"natural gas"	2.153
1992	"natural gas"	2.328
1993	"natural gas"	2.56
1994	"natural gas"	2.23
1995	"natural gas"	1.984
1996	"natural gas"	2.64
1997	"natural gas"	2.76
1998	"natural gas"	2.38
1999	"natural gas"	2.57
2000	"natural gas"	4.3
2001	"natural gas"	4.49
2002	"natural gas"	3.68
2003	"natural gas"	5.59
2004	"natural gas"	6.15
2005	"natural gas"	8.32
2006	"natural gas"	7.36
2007	"natural gas"	7.47
2008	"natural gas"	9.22
2009	"natural gas"	5.5
2010	"natural gas"	5.43
2011	"natural gas"	5
2012	"natural gas"	3.74
2013	"natural gas"	4.49
2014	"natural gas"	5.17
1991	"oil"	2.548
1992	"oil"	2.551
1993	"oil"	2.433
1994	"oil"	2.488
1995	"oil"	2.679
1996	"oil"	3.16
1997	"oil"	2.88
1998	"oil"	2.14
1999	"oil"	2.53
2000	"oil"	4.45
2001	"oil"	3.92
2002	"oil"	3.74
2003	"oil"	4.68
2004	"oil"	4.8
2005	"oil"	7.17
2006	"oil"	8.33
2007	"oil"	9.24
2008	"oil"	15.72
2009	"oil"	10.44
2010	"oil"	13.94
2011	"oil"	20.3
2012	"oil"	22.11
2013	"oil"	21.09
2014	"oil"	19.9
