"oc","fuel","t","Val"
"biomass","biomass","1990",14597.6275862069
"biomass","biomass","1991",14839.7598978289
"biomass","biomass","1992",14772.5568326948
"biomass","biomass","1993",14772.5568326948
"biomass","biomass","1994",14322.7852631579
"biomass","biomass","1995",14517.0958095238
"biomass","biomass","1996",14458.0409085295
"biomass","biomass","1997",14399.2262402495
"biomass","biomass","1998",14340.650827428
"biomass","biomass","1999",14282.3136967842
"biomass","biomass","2000",14224.2138789969
"biomass","biomass","2001",14166.350408688
"biomass","biomass","2002",14108.7223244063
"biomass","biomass","2003",14051.328668612
"biomass","biomass","2004",13994.1684876605
"biomass","biomass","2005",13937.2408317863
"biomass","biomass","2006",13880.5447550879
"biomass","biomass","2007",13824.0793155113
"biomass","biomass","2008",13767.8435748352
"biomass","biomass","2009",13711.8365986544
"biomass","biomass","2010",13656.0574563653
"biomass","biomass","2011",13600.5052211497
"biomass","biomass","2012",13545.1789699596
"biomass","biomass","2013",13490.0777835021
"biomass","biomass","2014",13435.2007462239
"biomass","biomass","2015",13380.5469462961
"coal","coal","1990",10103.766488218
"coal","coal","1991",10091.457152802
"coal","coal","1992",10041.4420515806
"coal","coal","1993",10041.8639083128
"coal","coal","1994",10029.4148268787
"coal","coal","1995",10032.8339406981
"coal","coal","1996",10024.7206686573
"coal","coal","1997",10061.3908248687
"coal","coal","1998",10066.0852460174
"coal","coal","1999",10057.5592811388
"coal","coal","2000",10064.8821994898
"coal","coal","2001",10026.0942163216
"coal","coal","2002",10072.3304697311
"coal","coal","2003",10052.2789554142
"coal","coal","2004",10116.3001223693
"coal","coal","2005",10123.2144895098
"coal","coal","2006",10147.3362592033
"coal","coal","2007",10158
"coal","coal","2008",10138
"coal","coal","2009",10150
"coal","coal","2010",10142
"coal","coal","2011",10128
"coal","coal","2012",10107
"coal","coal","2013",10089
"coal","coal","2014",10080
"coal","coal","2015",10059
"combined_cycle","natural_gas","1990",11095.7346382818
"combined_cycle","natural_gas","1991",11091.4361695255
"combined_cycle","natural_gas","1992",10986.4680412938
"combined_cycle","natural_gas","1993",10565.5888029082
"combined_cycle","natural_gas","1994",10678.6819247028
"combined_cycle","natural_gas","1995",10089.9641676087
"combined_cycle","natural_gas","1996",10261.8337847655
"combined_cycle","natural_gas","1997",9471.15055573862
"combined_cycle","natural_gas","1998",9378.06895541709
"combined_cycle","natural_gas","1999",9545.38339707394
"combined_cycle","natural_gas","2000",9398.98981450289
"combined_cycle","natural_gas","2001",10161.9585686079
"combined_cycle","natural_gas","2002",9174.8490375976
"combined_cycle","natural_gas","2003",9559.57651848348
"combined_cycle","natural_gas","2004",8277.143239712
"combined_cycle","natural_gas","2005",8157.9783615604
"combined_cycle","natural_gas","2006",7748.51943043988
"combined_cycle","natural_gas","2007",7577
"combined_cycle","natural_gas","2008",7642
"combined_cycle","natural_gas","2009",7605
"combined_cycle","natural_gas","2010",7619
"combined_cycle","natural_gas","2011",7603
"combined_cycle","natural_gas","2012",7615
"combined_cycle","natural_gas","2013",7667
"combined_cycle","natural_gas","2014",7658
"combined_cycle","natural_gas","2015",7655
"combined_cycle","oil","1990",11750.9484574868
"combined_cycle","oil","1991",12394.5360564801
"combined_cycle","oil","1992",12489.8043278085
"combined_cycle","oil","1993",12382.8012101797
"combined_cycle","oil","1994",12464.6573875803
"combined_cycle","oil","1995",12366.8150782361
"combined_cycle","oil","1996",12459.4464318155
"combined_cycle","oil","1997",12037.2962736847
"combined_cycle","oil","1998",11985.2750326334
"combined_cycle","oil","1999",12079.3033509852
"combined_cycle","oil","2000",11997.8401993512
"combined_cycle","oil","2001",12426.1118276917
"combined_cycle","oil","2002",11895.332694557
"combined_cycle","oil","2003",12114.67455996
"combined_cycle","oil","2004",11400.0161062529
"combined_cycle","oil","2005",11327.8449064824
"combined_cycle","oil","2006",11077.8300873098
"combined_cycle","oil","2007",10970
"combined_cycle","oil","2008",10985
"combined_cycle","oil","2009",10715
"combined_cycle","oil","2010",10474
"combined_cycle","oil","2011",10650
"combined_cycle","oil","2012",10195
"combined_cycle","oil","2013",9937
"combined_cycle","oil","2014",9924
"combined_cycle","oil","2015",9676
"combustion_turbine","natural_gas","1990",14368.9765449293
"combustion_turbine","natural_gas","1991",14039.3546454192
"combustion_turbine","natural_gas","1992",13822.1930911005
"combustion_turbine","natural_gas","1993",13822.6750496736
"combustion_turbine","natural_gas","1994",13873.1695442403
"combustion_turbine","natural_gas","1995",13646.0827142464
"combustion_turbine","natural_gas","1996",13780.6145280004
"combustion_turbine","natural_gas","1997",13166.0695862305
"combustion_turbine","natural_gas","1998",13091.1794260425
"combustion_turbine","natural_gas","1999",13226.3575125039
"combustion_turbine","natural_gas","2000",13108.9552592503
"combustion_turbine","natural_gas","2001",13724.8424436888
"combustion_turbine","natural_gas","2002",12953.223634996
"combustion_turbine","natural_gas","2003",13267.5925945214
"combustion_turbine","natural_gas","2004",12237.453747058
"combustion_turbine","natural_gas","2005",12135.4851655056
"combustion_turbine","natural_gas","2006",11782.9581084853
"combustion_turbine","natural_gas","2007",11632
"combustion_turbine","natural_gas","2008",11576
"combustion_turbine","natural_gas","2009",11560
"combustion_turbine","natural_gas","2010",11590
"combustion_turbine","natural_gas","2011",11569
"combustion_turbine","natural_gas","2012",11499
"combustion_turbine","natural_gas","2013",11371
"combustion_turbine","natural_gas","2014",11378
"combustion_turbine","natural_gas","2015",11302
"combustion_turbine","oil","1990",14304.113278686
"combustion_turbine","oil","1991",14461.9970801015
"combustion_turbine","oil","1992",13759.8444875366
"combustion_turbine","oil","1993",13725.7880467141
"combustion_turbine","oil","1994",13768.8038003492
"combustion_turbine","oil","1995",13806.0453944644
"combustion_turbine","oil","1996",13844.5890875147
"combustion_turbine","oil","1997",13669.7525637416
"combustion_turbine","oil","1998",13647.7336294249
"combustion_turbine","oil","1999",13687.6411811971
"combustion_turbine","oil","2000",13653.2353689237
"combustion_turbine","oil","2001",13834.8854902285
"combustion_turbine","oil","2002",13614.6242726376
"combustion_turbine","oil","2003",13708.1938103069
"combustion_turbine","oil","2004",13406.7884977459
"combustion_turbine","oil","2005",13375.1535514257
"combustion_turbine","oil","2006",13265.1260838211
"combustion_turbine","oil","2007",13217
"combustion_turbine","oil","2008",13311
"combustion_turbine","oil","2009",13326
"combustion_turbine","oil","2010",13386
"combustion_turbine","oil","2011",13637
"combustion_turbine","oil","2012",13622
"combustion_turbine","oil","2013",13555
"combustion_turbine","oil","2014",13457
"combustion_turbine","oil","2015",13550
"geothermal","geothermal","1990",10402
"geothermal","geothermal","1991",10436
"geothermal","geothermal","1992",10342
"geothermal","geothermal","1993",10309
"geothermal","geothermal","1994",10316
"geothermal","geothermal","1995",10312
"geothermal","geothermal","1996",10340
"geothermal","geothermal","1997",10213
"geothermal","geothermal","1998",10197
"geothermal","geothermal","1999",10226
"geothermal","geothermal","2000",10201
"geothermal","geothermal","2001",10333
"geothermal","geothermal","2002",10173
"geothermal","geothermal","2003",10241
"geothermal","geothermal","2004",10022
"geothermal","geothermal","2005",9999
"geothermal","geothermal","2006",9919
"geothermal","geothermal","2007",9884
"geothermal","geothermal","2008",9854
"geothermal","geothermal","2009",9760
"geothermal","geothermal","2010",9756
"geothermal","geothermal","2011",9735.867812
"geothermal","geothermal","2012",9715.777169
"geothermal","geothermal","2013",9695.727983
"geothermal","geothermal","2014",9675.720171
"geothermal","geothermal","2015",9655.753646
"hydro","water","1990",10402
"hydro","water","1991",10436
"hydro","water","1992",10342
"hydro","water","1993",10309
"hydro","water","1994",10316
"hydro","water","1995",10312
"hydro","water","1996",10340
"hydro","water","1997",10213
"hydro","water","1998",10197
"hydro","water","1999",10226
"hydro","water","2000",10201
"hydro","water","2001",10333
"hydro","water","2002",10173
"hydro","water","2003",10241
"hydro","water","2004",10022
"hydro","water","2005",9999
"hydro","water","2006",9919
"hydro","water","2007",9884
"hydro","water","2008",9854
"hydro","water","2009",9760
"hydro","water","2010",9756
"hydro","water","2011",9735.867812
"hydro","water","2012",9715.777169
"hydro","water","2013",9695.727983
"hydro","water","2014",9675.720171
"hydro","water","2015",9655.753646
"nuclear","uranium","1990",10607.2610934981
"nuclear","uranium","1991",10488.3936510361
"nuclear","uranium","1992",10486.4192801995
"nuclear","uranium","1993",10486.4192801995
"nuclear","uranium","1994",10462.5031271264
"nuclear","uranium","1995",10527.3574489323
"nuclear","uranium","1996",10520.4369680586
"nuclear","uranium","1997",10504.8702135978
"nuclear","uranium","1998",10499.684523091
"nuclear","uranium","1999",10428.8282314784
"nuclear","uranium","2000",10392.6394796423
"nuclear","uranium","2001",10416.7300194433
"nuclear","uranium","2002",10415.0075909988
"nuclear","uranium","2003",10378.8391018368
"nuclear","uranium","2004",10389.1578125323
"nuclear","uranium","2005",10404.6423688735
"nuclear","uranium","2006",10404.6423688735
