"primemover","n"
"BA",79
"BT",261
"CA",9313
"CC",1
"CE",9
"CP",12
"CS",408
"CT",10099
"FC",284
"FW",3
"GT",22367
"HY",19631
"IC",22682
"OT",242
"PS",548
"PV",5462
"ST",46880
"WS",1
"WT",7710
NA,15575
