"yr","utilcode","plntcode","primemover","fuel","generation","consumption"
1990,"18642","46","ST","UR",-63303,0
1990,"18642","46","ST","UR",-22497,0
1990,"17609","360","ST","UR",8309678,0
1990,"17609","360","ST","UR",6582798,0
1990,"21687","566","ST","UR",5304442,0
1990,"21687","566","ST","UR",8218241,0
1990,"6452","621","ST","UR",4411189,0
1990,"7140","649","ST","UR",6854922,0
1990,"4110","869","ST","UR",5139039,0
1990,"4110","880","ST","UR",4350903,0
1990,"4110","885","ST","UR",2606758,0
1990,"13781","1925","ST","UR",3803698,0
1990,"15477","2410","ST","UR",5407905,0
1990,"13573","2589","ST","UR",4120713,0
1990,"14940","3166","ST","UR",7527104,0
1990,"5416","3265","ST","UR",6269363,0
1990,"5416","3265","ST","UR",7427838,0
1990,"19876","3806","ST","UR",5837766,0
1990,"20847","4046","ST","UR",3793349,0
1990,"9324","6000","ST","UR",4813309,0
1990,"195","6001","ST","UR",5250732,0
1990,"803","6008","ST","UR",6242217,0
1990,"803","6008","ST","UR",9636010,0
1990,"1167","6011","ST","UR",-34951,0
1990,"3046","6014","ST","UR",4049901,0
1990,"4110","6022","ST","UR",6334505,0
1990,"4110","6023","ST","UR",6014192,0
1990,"4110","6026","ST","UR",6183785,0
1990,"5416","6036","ST","UR",6437597,0
1990,"5416","6038","ST","UR",6461549,0
1990,"5487","6040","ST","UR",4330884,0
1990,"6452","6045","ST","UR",5320380,0
1990,"7140","6051","ST","UR",6527752,0
1990,"14328","6099","ST","UR",7560427,0
1990,"14715","6103","ST","UR",8290697,0
1990,"14940","6105","ST","UR",7411447,0
1990,"18642","6152","ST","UR",7177744,0
1990,"19876","6168","ST","UR",5976648,0
1990,"8901","6251","ST","UR",6427601,0
1990,"814","8055","ST","UR",7159568,0
1990,"6455","8888","ST","FO6",0,0
1991,"50005","566","ST","UR",3944729,0
1991,"50005","566","ST","UR",2839853,0
1991,"52053","2589","ST","UR",6573329,0
1991,"52414","2410","ST","UR",7655443,0
1991,"50827","6040","ST","UR",6797396,0
1991,"52288","6103","ST","UR",7035384,0
1991,"52304","6105","ST","UR",7145639,0
1991,"52304","3166","ST","UR",5106347,0
1991,"50643","6023","ST","UR",8772679,0
1991,"50643","6026","ST","UR",8712414,0
1991,"50643","6022","ST","UR",6535415,0
1991,"50643","885","ST","UR",5104976,0
1991,"50643","880","ST","UR",5304163,0
1991,"50643","869","ST","UR",2567729,0
1991,"57745","6000","ST","UR",8185897,0
1991,"53330","4046","ST","UR",3687712,0
1991,"52107","1925","ST","UR",4480404,0
1991,"50154","6011","ST","UR",3595356,0
1991,"53146","6168","ST","UR",7684253,0
1991,"53146","3806","ST","UR",3985213,0
1991,"50441","6014","ST","UR",3641166,0
1991,"50816","6038","ST","UR",9515965,0
1991,"50816","6036","ST","UR",7271256,0
1991,"50816","3265","ST","UR",7427944,0
1991,"50816","3265","ST","UR",5587815,0
1991,"51100","649","ST","UR",8897443,0
1991,"51100","6051","ST","UR",4922299,0
1991,"51006","6045","ST","UR",7246362,0
1991,"51006","621","ST","UR",748471,0
1991,"51007","8888","ST","FO6",0,0
1991,"52987","6152","ST","UR",9318886,0
1991,"50022","6001","ST","UR",6739940,0
1991,"52987","46","ST","UR",3769138,0
1991,"52987","46","ST","UR",-19727,0
1991,"50105","8055","ST","UR",6121481,0
1991,"51352","6251","ST","UR",7255235,0
1991,"50101","6008","ST","UR",8265186,0
1991,"50101","6008","ST","UR",7518450,0
1991,"52224","6099","ST","UR",7706591,0
1991,"52721","360","ST","UR",5759812,0
1991,"52721","360","ST","UR",8693198,0
1992,"50005","566","ST","UR",2705085,0
1992,"50005","566","ST","UR",6573806,0
1992,"52053","2589","ST","UR",5123430,0
1992,"52414","2410","ST","UR",4717691,0
1992,"50827","6040","ST","UR",5644322,0
1992,"52288","6103","ST","UR",7180120,0
1992,"52304","6105","ST","UR",8489182,0
1992,"52304","3166","ST","UR",7249862,0
1992,"50643","885","ST","UR",5350880,0
1992,"50643","6026","ST","UR",5781429,0
1992,"50643","6023","ST","UR",6983751,0
1992,"50643","6022","ST","UR",8751141,0
1992,"50643","880","ST","UR",3896560,0
1992,"50643","869","ST","UR",3058449,0
1992,"57745","6000","ST","UR",1427300,0
1992,"53330","4046","ST","UR",3666629,0
1992,"52107","1925","ST","UR",3217586,0
1992,"50154","6011","ST","UR",6577965,0
1992,"53146","6168","ST","UR",6324748,0
1992,"53146","3806","ST","UR",6426475,0
1992,"50441","6014","ST","UR",1257088,0
1992,"50816","6038","ST","UR",6780554,0
1992,"50816","6036","ST","UR",9273457,0
1992,"50816","3265","ST","UR",5943730,0
1992,"50816","3265","ST","UR",5445591,0
1992,"51100","6051","ST","UR",4688570,0
1992,"51100","649","ST","UR",7767045,0
1992,"51006","6045","ST","UR",4618729,0
1992,"51006","621","ST","UR",4637371,0
1992,"51007","8888","ST","FO6",0,0
1992,"52987","6152","ST","UR",7286331,0
1992,"50022","6001","ST","UR",5405136,0
1992,"52987","46","ST","UR",8388768,0
1992,"52987","46","ST","UR",-21102,0
1992,"50105","8055","ST","UR",5500309,0
1992,"51352","6251","ST","UR",10333838,0
1992,"50101","6008","ST","UR",10104506,0
1992,"50101","6008","ST","UR",8385397,0
1992,"52224","6099","ST","UR",9247632,0
1992,"52721","360","ST","UR",8795181,0
1992,"52721","360","ST","UR",6827563,0
1993,"50005","566","ST","UR",6296685,0
1993,"50005","566","ST","UR",6491817,0
1993,"52053","2589","ST","UR",7193308,0
1993,"52414","2410","ST","UR",5541301,0
1993,"50827","6040","ST","UR",5204825,0
1993,"52288","6103","ST","UR",8338861,0
1993,"52304","6105","ST","UR",7468655,0
1993,"52304","3166","ST","UR",6331729,0
1993,"50643","885","ST","UR",5275579,0
1993,"50643","6023","ST","UR",7622467,0
1993,"50643","6026","ST","UR",5842958,0
1993,"50643","6022","ST","UR",7352547,0
1993,"50643","880","ST","UR",3106065,0
1993,"50643","869","ST","UR",4963624,0
1993,"57745","6000","ST","UR",7553810,0
1993,"53330","4046","ST","UR",3844233,0
1993,"52107","1925","ST","UR",3745055,0
1993,"50154","6011","ST","UR",4965920,0
1993,"53146","3806","ST","UR",4541657,0
1993,"53146","6168","ST","UR",6225220,0
1993,"50441","6014","ST","UR",3976493,0
1993,"50816","6038","ST","UR",6805155,0
1993,"50816","6036","ST","UR",8162731,0
1993,"50816","3265","ST","UR",6233116,0
1993,"50816","3265","ST","UR",7393759,0
1993,"51100","6051","ST","UR",4999707,0
1993,"51100","649","ST","UR",8680901,0
1993,"51006","6045","ST","UR",4018053,0
1993,"51006","621","ST","UR",4745768,0
1993,"51007","8888","ST","FO6",0,0
1993,"52987","6152","ST","UR",2063021,0
1993,"50022","6001","ST","UR",5235891,0
1993,"52987","46","ST","UR",5760008,0
1993,"52987","46","ST","UR",-21036,0
1993,"50105","8055","ST","UR",7344674,0
1993,"51352","6251","ST","UR",583221,0
1993,"50010","6145","ST","UR",4199010,0
1993,"50101","6008","ST","UR",5125314,0
1993,"50101","6008","ST","UR",9394903,0
1993,"52224","6099","ST","UR",7788153,0
1993,"52721","360","ST","UR",7117369,0
1994,"52987","46","ST","UR",7342224,0
1994,"52987","46","ST","UR",-45873,0
1994,"52721","360","ST","UR",9177872,0
1994,"50005","566","ST","UR",3283124,0
1994,"50005","566","ST","UR",3658739,0
1994,"51006","621","ST","UR",4843922,0
1994,"51100","649","ST","UR",9331599,0
1994,"50643","869","ST","UR",1624507,0
1994,"50643","880","ST","UR",4006997,0
1994,"50643","885","ST","UR",6133051,0
1994,"52107","1925","ST","UR",4552960,0
1994,"52414","2410","ST","UR",5596267,0
1994,"52053","2589","ST","UR",4917951,0
1994,"52304","3166","ST","UR",8883241,0
1994,"50816","3265","ST","UR",6148500,0
1994,"50816","3265","ST","UR",5668567,0
1994,"53146","3806","ST","UR",6260966,0
1994,"53330","4046","ST","UR",3749876,0
1994,"57745","6000","ST","UR",3531453,0
1994,"50022","6001","ST","UR",7147871,0
1994,"50101","6008","ST","UR",6573863,0
1994,"50101","6008","ST","UR",6824487,0
1994,"50154","6011","ST","UR",6561770,0
1994,"50441","6014","ST","UR",4809206,0
1994,"50643","6022","ST","UR",6637277,0
1994,"50643","6023","ST","UR",6791894,0
1994,"50643","6026","ST","UR",8428871,0
1994,"50816","6036","ST","UR",9778833,0
1994,"50816","6038","ST","UR",8656226,0
1994,"50827","6040","ST","UR",5504384,0
1994,"51006","6045","ST","UR",4769803,0
1994,"51100","6051","ST","UR",5271124,0
1994,"52224","6099","ST","UR",7368879,0
1994,"52288","6103","ST","UR",6895728,0
1994,"52304","6105","ST","UR",8581020,0
1994,"50010","6145","ST","UR",5235817,0
1994,"52987","6152","ST","UR",5832896,0
1994,"53146","6168","ST","UR",7490267,0
1994,"51352","6251","ST","UR",5941816,0
1994,"50105","8055","ST","UR",6725144,0
1994,"51007","8888","ST","FO6",0,0
1995,"50005","566","ST","UR",2737011,0
1995,"50005","566","ST","UR",8000964,0
1995,"52053","2589","ST","UR",7239403,0
1995,"52414","2410","ST","UR",2024771,0
1995,"50827","6040","ST","UR",5779536,0
1995,"52288","6103","ST","UR",8192783,0
1995,"52304","6105","ST","UR",8400948,0
1995,"52304","3166","ST","UR",7173348,0
1995,"50643","885","ST","UR",5906061,0
1995,"50643","6026","ST","UR",5967910,0
1995,"50643","6023","ST","UR",8183770,0
1995,"50643","6022","ST","UR",9533038,0
1995,"50643","880","ST","UR",2472661,0
1995,"50643","869","ST","UR",3464995,0
1995,"57745","6000","ST","UR",8602528,0
1995,"53330","4046","ST","UR",3383802,0
1995,"52107","1925","ST","UR",3964294,0
1995,"50154","6011","ST","UR",5907740,0
1995,"53146","3806","ST","UR",5517339,0
1995,"53146","6168","ST","UR",6031674,0
1995,"50441","6014","ST","UR",6215958,0
1995,"50816","6038","ST","UR",9090011,0
1995,"50816","6036","ST","UR",7946950,0
1995,"50816","3265","ST","UR",6973940,0
1995,"50816","3265","ST","UR",6467841,0
1995,"51100","6051","ST","UR",5051646,0
1995,"51100","649","ST","UR",9159186,0
1995,"51006","6045","ST","UR",4999087,0
1995,"51006","621","ST","UR",5805124,0
1995,"52987","6152","ST","UR",8887687,0
1995,"50022","6001","ST","UR",5091787,0
1995,"52987","46","ST","UR",9197035,0
1995,"52987","46","ST","UR",734536,0
1995,"50105","8055","ST","UR",5684926,0
1995,"51352","6251","ST","UR",9902292,0
1995,"50010","6145","ST","UR",9163402,0
1995,"50101","6008","ST","UR",9070857,0
1995,"50101","6008","ST","UR",9386834,0
1995,"52224","6099","ST","UR",8844718,0
1995,"52721","360","ST","UR",7498452,0
1996,"21687","566","ST","UR",1031746,0
1996,"21687","566","ST","UR",2434196,0
1996,"13573","2589","ST","UR",8698966,0
1996,"15477","2410","ST","UR",-38442,0
1996,"5487","6040","ST","UR",4768480,0
1996,"14715","6103","ST","UR",9127172,0
1996,"14940","6105","ST","UR",8996786,0
1996,"14940","3166","ST","UR",9425381,0
1996,"4110","885","ST","UR",5581777,0
1996,"4110","6022","ST","UR",8002310,0
1996,"4110","6023","ST","UR",7820804,0
1996,"4110","6026","ST","UR",5625470,0
1996,"4110","880","ST","UR",4654411,0
1996,"4110","869","ST","UR",2941524,0
1996,"9324","6000","ST","UR",8022603,0
1996,"20847","4046","ST","UR",2946935,0
1996,"13781","1925","ST","UR",4485196,0
1996,"1167","6011","ST","UR",7245973,0
1996,"19876","6168","ST","UR",6121543,0
1996,"19876","3806","ST","UR",6081464,0
1996,"3046","6014","ST","UR",5188118,0
1996,"5416","6038","ST","UR",7255888,0
1996,"5416","6036","ST","UR",9233635,0
1996,"5416","3265","ST","UR",4419061,0
1996,"5416","3265","ST","UR",5450507,0
1996,"7140","6051","ST","UR",7027701,0
1996,"7140","649","ST","UR",9037636,0
1996,"6452","6045","ST","UR",6922133,0
1996,"6452","621","ST","UR",5164095,0
1996,"18642","6152","ST","UR",7677850,0
1996,"195","6001","ST","UR",5737723,0
1996,"18642","46","ST","UR",8046379,0
1996,"18642","46","ST","UR",8803269,0
1996,"814","8055","ST","UR",7063877,0
1996,"8901","6251","ST","UR",10445360,0
1996,"44372","6145","ST","UR",7347364,0
1996,"803","6008","ST","UR",9342141,0
1996,"803","6008","ST","UR",10789604,0
1996,"14328","6099","ST","UR",7922915,0
1996,"17609","360","ST","UR",8838647,0
1997,"21687","566","ST","UR",-23812,0
1997,"21687","566","ST","UR",-58411,0
1997,"13573","2589","ST","UR",8877900,0
1997,"15477","2410","ST","UR",2472167,0
1997,"5487","6040","ST","UR",6158702,0
1997,"14715","6103","ST","UR",7724244,0
1997,"14940","6105","ST","UR",8310627,0
1997,"14940","3166","ST","UR",7566281,0
1997,"4110","885","ST","UR",-59838,0
1997,"4110","6022","ST","UR",8224788,0
1997,"4110","6026","ST","UR",-46436,0
1997,"4110","6023","ST","UR",9102891,0
1997,"4110","880","ST","UR",2605448,0
1997,"4110","869","ST","UR",4024416,0
1997,"9324","6000","ST","UR",5874416,0
1997,"20847","4046","ST","UR",810627,0
1997,"13781","1925","ST","UR",3640493,0
1997,"1167","6011","ST","UR",6005964,0
1997,"19876","6168","ST","UR",7834787,0
1997,"19876","3806","ST","UR",6451272,0
1997,"3046","6014","ST","UR",6055408,0
1997,"5416","6038","ST","UR",6645625,0
1997,"5416","6036","ST","UR",8583430,0
1997,"5416","3265","ST","UR",5868320,0
1997,"5416","3265","ST","UR",4645028,0
1997,"7140","649","ST","UR",10101828,0
1997,"7140","6051","ST","UR",6033584,0
1997,"6452","6045","ST","UR",6500249,0
1997,"6452","621","ST","UR",5441602,0
1997,"18642","6152","ST","UR",8725643,0
1997,"195","6001","ST","UR",7281390,0
1997,"18642","46","ST","UR",8372923,0
1997,"18642","46","ST","UR",8523362,0
1997,"814","8055","ST","UR",6957026,0
1997,"8901","6251","ST","UR",9960360,0
1997,"44372","6145","ST","UR",8057239,0
1997,"803","6008","ST","UR",9322666,0
1997,"803","6008","ST","UR",9253827,0
1997,"14328","6099","ST","UR",8883556,0
1997,"17609","360","ST","UR",6825443,0
1998,"21687","566","ST","UR",-21313,0
