"yr","cost.yr","overnight.base","variable.o.m","fixed.o.m","overnightcategory"
2002,2000,435,0.52,15.61,"conventional combined cycle"
2003,2001,510,2.04,12.26,"conventional combined cycle"
1999,1997,445,0.51,15.35,"conventional combined cycle"
2000,1998,449,0.51,15.35,"conventional combined cycle"
2004,2002,516,2.07,12.4,"conventional combined cycle"
2005,2003,540,1.83,11.04,"conventional combined cycle"
2006,2004,556,1.88,11.37,"conventional combined cycle"
2007,2005,574,1.94,11.75,"conventional combined cycle"
2008,2006,683,2.01,12.14,"conventional combined cycle"
2009,2007,917,2.07,12.48,"conventional combined cycle"
2010,2008,937,2.11,12.76,"conventional combined cycle"
2011,2009,921,3.37,14.22,"conventional combined cycle"
2012,2010,931,3.43,14.39,"conventional combined cycle"
2013,2011,858,3.54,12.94,"conventional combined cycle"
2014,2012,871,3.6,13.17,"conventional combined cycle"
2015,2013,869,3.6,13.16,"conventional combined cycle"
2016,2015,911,3.42,10.76,"conventional combined cycle"
1997,1995,353,0.1,12.1,"conventional combustion turbine"
1996,1987,275,0.1,9.4,"conventional combustion turbine"
1998,1996,325,5,4,"conventional combustion turbine"
2011,2009,916,8.15,9.75,"conventional combustion turbine"
2013,2011,910,15.18,7.21,"conventional combustion turbine"
2014,2012,924,15.45,7.34,"conventional combustion turbine"
2015,2013,922,15.44,7.34,"conventional combustion turbine"
2016,2015,1026,3.42,17.12,"conventional combustion turbine"
2012,2010,927,14.7,6.98,"conventional combustion turbine"
1999,1997,329,0.1,6.35,"conventional combustion turbine"
2000,1998,332,0.1,6.35,"conventional combustion turbine"
2001,1999,315,0.1,6.3,"conventional combustion turbine"
2002,2000,323,0.1,6.45,"conventional combustion turbine"
2006,2004,388,3.25,11.03,"conventional combustion turbine"
2007,2005,400,3.36,11.4,"conventional combustion turbine"
2009,2007,638,3.57,12.11,"conventional combustion turbine"
2004,2002,394,4.14,10.34,"conventional combustion turbine"
2005,2003,376,3.16,10.72,"conventional combustion turbine"
2003,2001,389,4.09,10.22,"conventional combustion turbine"
2008,2006,476,3.47,11.78,"conventional combustion turbine"
2010,2008,653,3.65,12.38,"conventional combustion turbine"
1996,1987,2176,3.2,10.2,"hydro"
2006,2004,1320,3.2,12.72,"hydro"
2007,2005,1364,3.3,13.14,"hydro"
2008,2006,1410,3.41,13.59,"hydro"
2009,2007,2038,2.43,13.63,"hydro"
2010,2008,2084,2.49,13.93,"hydro"
2011,2009,2019,2.42,13.55,"hydro"
2012,2010,2134,2.55,14.27,"hydro"
2013,2011,2179,2.6,14.57,"hydro"
2014,2012,2213,2.65,14.83,"hydro"
2015,2013,2410,5.76,15.15,"hydro"
2016,2015,2191,2.62,14.7,"hydro"
2005,2003,1319,4.6,12.35,"hydro"
2012,2010,3010,6.87,48.9,"igcc"
2011,2009,2974,6.79,58.52,"igcc"
2000,1998,1012,0.51,30.7,"steam turbine"
1999,1997,1004,0.51,30.7,"steam turbine"
2016,2015,2559,0,116.12,"geothermal"
2015,2013,2331,0,112.85,"geothermal"
2014,2012,2375,0,112.92,"geothermal"
2013,2011,2444,0,110.94,"geothermal"
2012,2010,2393,9.64,108.62,"geothermal"
2011,2009,2364,9.52,107.27,"geothermal"
2010,2008,1666,0,168.33,"geothermal"
2009,2007,1630,0,164.64,"geothermal"
2008,2006,1057,0,160.18,"geothermal"
2007,2005,1790,0,154.92,"geothermal"
2006,2004,2100,0,75,"geothermal"
2005,2003,2960,0,104.98,"geothermal"
2004,2002,2099,0,79.28,"geothermal"
2003,2001,1681,0,71.75,"geothermal"
2002,2000,1663,0,70.07,"geothermal"
2001,1999,1626,0,70.69,"geothermal"
2000,1998,1621,0,85.9,"geothermal"
1999,1997,1831,0,85.9,"geothermal"
1998,1996,NA,0,95.7,"geothermal"
1997,1995,NA,0,93.4,"geothermal"
1996,1987,2337,0,64.6,"geothermal"
2010,2008,2401,2.99,39.53,"igcc"
2009,2007,2223,2.92,38.67,"igcc"
2008,2006,1657,2.84,37.62,"igcc"
2007,2005,1394,2.75,36.38,"igcc"
2006,2004,1349,2.65,35.21,"igcc"
2005,2003,1310,2.58,34.21,"igcc"
2004,2002,1292,2.07,34.11,"igcc"
2003,2001,1277,2.04,33.72,"igcc"
2002,2000,1250,0.8,32.67,"igcc"
2001,1999,1220,0.78,31.89,"igcc"
2000,1998,1315,0.79,32.13,"igcc"
1999,1997,1606,0.79,32.13,"igcc"
1998,1996,1833,1.87,24.2,"igcc"
1997,1995,2159,1.3,50.7,"igcc"
1996,1987,1008,1,39.4,"igcc"
2015,2013,2726,4.47,31.16,"coal"
2014,2012,2734,4.47,31.18,"coal"
1997,1995,2534,0.4,53.7,"nuclear"
1998,1996,991,0.5,30,"steam turbine"
1997,1995,968,0.5,29.3,"steam turbine"
1996,1987,752,5.2,5.3,"steam turbine"
1999,1997,4162,0,9.82,"photovoltaic"
2000,1998,4836,0,9.82,"photovoltaic"
2004,2002,3810,0,10.08,"photovoltaic"
2005,2003,3868,0,10.34,"photovoltaic"
2006,2004,3981,0,10.64,"photovoltaic"
2007,2005,4114,0,10.99,"photovoltaic"
2008,2006,5380,0,11.37,"photovoltaic"
2009,2007,5750,0,11.68,"photovoltaic"
2010,2008,5879,0,11.94,"photovoltaic"
2011,2009,4474,0,25.73,"photovoltaic"
2012,2010,4528,0,16.7,"photovoltaic"
2013,2011,3624,0,21.37,"photovoltaic"
2014,2012,3394,0,24.69,"photovoltaic"
2015,2013,3123,0,24.68,"photovoltaic"
2016,2015,2362,0,21.33,"photovoltaic"
1996,1987,2657,0,5.1,"photovoltaic"
1998,1996,4556,0,9.7,"photovoltaic"
2001,1999,3681,0,9.85,"photovoltaic"
2002,2000,3317,0,9.85,"photovoltaic"
2003,2001,3389,0,10.06,"photovoltaic"
1997,1995,3336,0,6.7,"photovoltaic"
1996,1987,1190,1.9,40.5,"coal"
1997,1995,1430,2.4,34.2,"coal"
1998,1996,1079,3.25,22.5,"coal"
2013,2011,2694,4.39,30.64,"coal"
2012,2010,2658,4.25,29.67,"coal"
2011,2009,2625,4.2,29.31,"coal"
2010,2008,2078,4.69,28.15,"coal"
2009,2007,1923,4.59,27.53,"coal"
2008,2006,1434,4.46,26.79,"coal"
2007,2005,1206,4.32,25.91,"coal"
2006,2004,1167,4.18,25.07,"coal"
2005,2003,1134,4.06,24.36,"coal"
2004,2002,1091,3.1,24.81,"coal"
2003,2001,1079,3.07,24.52,"coal"
2002,2000,1046,3.38,23.41,"coal"
2001,1999,1021,3.3,22.85,"coal"
2000,1998,1102,3.33,23.03,"coal"
1999,1997,1093,3.33,23.03,"coal"
1997,1995,2836,0,25.6,"solar thermal"
1998,1996,2903,0,46,"solar thermal"
1999,1997,2904,0,46.58,"solar thermal"
2000,1998,3059,0,46.58,"solar thermal"
2001,1999,2394,0,46.72,"solar thermal"
2002,2000,2157,0,47.87,"solar thermal"
2003,2001,2204,0,48.91,"solar thermal"
2004,2002,2478,0,49.48,"solar thermal"
2005,2003,2515,0,50.23,"solar thermal"
2006,2004,2589,0,51.7,"solar thermal"
2007,2005,2675,0,53.43,"solar thermal"
2008,2006,3499,0,55.24,"solar thermal"
2009,2007,4693,0,56.78,"solar thermal"
2010,2008,4798,0,58.05,"solar thermal"
2011,2009,4333,0,63.23,"solar thermal"
2012,2010,4384,0,64,"solar thermal"
2014,2012,4715,0,67.26,"solar thermal"
2015,2013,3787,0,67.23,"solar thermal"
2016,2015,3895,0,69.17,"solar thermal"
2013,2011,4653,0,66.09,"solar thermal"
1996,1987,1660,0,19.8,"solar thermal"
1996,1987,792,0,20.9,"wind"
1997,1995,929,0,27.4,"wind"
1998,1996,1235,0,25.6,"wind"
1999,1997,1109,0,25.92,"wind"
2000,1998,993,0,25.92,"wind"
2001,1999,919,0,26,"wind"
2002,2000,918,0,25.54,"wind"
2003,2001,938,0,26.1,"wind"
2004,2002,949,0,26.41,"wind"
2005,2003,1060,0,26.81,"wind"
2006,2004,1091,0,27.59,"wind"
2007,2005,1127,0,28.51,"wind"
2008,2006,1340,0,29.48,"wind"
2009,2007,1797,0,30.3,"wind"
2010,2008,1837,0,30.98,"wind"
2011,2009,2251,0,27.73,"wind"
2012,2010,2278,0,28.07,"wind"
2013,2011,2032,0,38.86,"wind"
2014,2012,2061,0,39.55,"wind"
2015,2013,1850,0,39.53,"wind"
2016,2015,1536,0,45.98,"wind"
