"yr","cost.yr","overnight.base","variable.o.m","fixed.o.m","overnightcategory"
2015,2013,3483,7.22,51.37,"igcc"
2014,2012,3525,7.22,51.39,"igcc"
2016,2015,5288,2.25,98.11,"nuclear"
2015,2013,4646,2.14,93.23,"nuclear"
2014,2012,4763,2.14,93.28,"nuclear"
2013,2011,4700,2.1,91.65,"nuclear"
2012,2010,4619,2.04,88.75,"nuclear"
2011,2009,4567,2,87.69,"nuclear"
2010,2008,3308,0.51,92.04,"nuclear"
2009,2007,2873,0.49,90.02,"nuclear"
2008,2006,2143,0.48,66.05,"nuclear"
2007,2005,1802,0.47,63.88,"nuclear"
2006,2004,1744,0.45,61.82,"nuclear"
2005,2003,1694,0.44,60.06,"nuclear"
2004,2002,1669,0.43,59.17,"nuclear"
2003,2001,1750,0.43,58.48,"nuclear"
2002,2000,1772,0.42,57.23,"nuclear"
2001,1999,1729,0.41,55.86,"nuclear"
2000,1998,2390,0.41,56.29,"nuclear"
1999,1997,2371,0.41,56.29,"nuclear"
1998,1996,2356,0.4,55,"nuclear"
2016,2015,3498,5.41,108.63,"biomass"
2015,2013,3399,5.26,105.58,"biomass"
2014,2012,3590,5.26,105.64,"biomass"
2013,2011,3685,5.17,103.79,"biomass"
2012,2010,3519,5,100.55,"biomass"
2011,2009,3395,6.94,99.3,"biomass"
2010,2008,3414,6.86,65.89,"biomass"
2009,2007,3339,6.71,64.45,"biomass"
2008,2006,2490,6.53,62.7,"biomass"
2007,2005,1714,2.96,50.18,"biomass"
2006,2004,1659,3.13,48.56,"biomass"
2005,2003,1612,2.96,47.18,"biomass"
2004,2002,1588,2.96,46.47,"biomass"
2003,2001,1569,2.96,45.94,"biomass"
2002,2000,1536,2.9,44.95,"biomass"
2001,1999,1464,2.83,43.88,"biomass"
2000,1998,1877,5.32,44,"biomass"
1999,1997,2205,5.32,44,"biomass"
1998,1996,2243,5.2,43,"biomass"
1997,1995,2657,2.2,67,"biomass"
1996,1987,1932,15.1,67.9,"biomass"
2013,2011,3475,7.09,50.49,"igcc"
1996,1987,344,0.4,22.8,"conventional combined cycle"
1997,1995,430,0.5,29.4,"conventional combined cycle"
1998,1996,440,2,15,"conventional combined cycle"
2001,1999,424,0.51,15.24,"conventional combined cycle"
