primemover,fuel,index,fuel_general,overnight_d,overnight_c
AB,BIT,ABBIT,coal,CT,coal
AB,LIG,ABLIG,coal,CT,coal
AB,SUB,ABSUB,coal,CT,coal
AB,WC,ABWC,coal,CT,coal
AB,WD,ABWD,biomass,conventional,biomass
BA,MWH,BAMWH,other,.,.
BT,GEO,BTGEO,geothermal,binary,geothermal
BT,WH,BTWH,other,.,.
CA,BIT,CABIT,coal,CC,coal
CA,DFO,CADFO,petroleum,CC,CC
CA,FO2,CAFO2,petroleum,CC,CC
CA,FO6,CAFO6,petroleum,CC,CC
CA,JF,CAJF,petroleum,CC,CC
CA,LFG,CALFG,gas,CC,CC
CA,NG,CANG,gas,CC,CC
CA,OBG,CAOBG,gas,CC,CC
CA,OG,CAOG,gas,CC,CC
CA,OTH,CAOTH,other,.,.
CA,PUR,CAPUR,other,.,.
CA,RFO,CARFO,petroleum,CC,CC
CA,SG,CASG,gas,CC,CC
CA,SGC,CASGC,gas,CC,CC
CA,SGP,CASGP,gas,CC,CC
CA,WDS,CAWDS,biomass,conventional,biomass
CA,WH,CAWH,other,.,.
CA,WO,CAWO,petroleum,CC,CC
CC,BIT,CCBIT,coal,CC,coal
CC,NG,CCNG,gas,CC,CC
CE,NG,CENG,gas,storage,OTH
CG,NG,CGNG,gas,OTH,OTH
CH,ANT,CHANT,coal,ST,coal
CH,BIT,CHBIT,coal,ST,coal
CH,MF,CHMF,other,.,.
CH,NG,CHNG,gas,ST,ST
CH,SUB,CHSUB,coal,ST,coal
CH,WC,CHWC,coal,ST,coal
CH,WD,CHWD,biomass,conventional,biomass
CP,SUN,CPSUN,solar,solar_thermal,solar_thermal
CS,DFO,CSDFO,petroleum,CT,CT
CS,NG,CSNG,gas,CT,CT
CT,BIT,CTBIT,coal,CC,coal
CT,DFO,CTDFO,petroleum,CC,CC
CT,FO2,CTFO2,petroleum,CC,CC
CT,JF,CTJF,petroleum,CC,CC
CT,LFG,CTLFG,gas,CC,CC
CT,NG,CTNG,gas,CC,CC
CT,OBG,CTOBG,gas,CC,CC
CT,OG,CTOG,gas,CC,CC
CT,RFO,CTRFO,petroleum,CC,CC
CT,SG,CTSG,gas,CC,CC
