Technology,yr,cost.yr,yr.available,size,leadtime,overnight.base,variable.o.m,fixed.o.m,heatrate.1,heatrate.n,heatrate.1.yr,heatrate.n.yr
Conv Combined Cycle ,2014,2012,2016,620,3,871,3.6,13.17,7050,6800,2013,n
Conv Combined Cycle ,2015,2013,2017,620,3,869,3.6,13.16,7050,6800,2014,n
Conv Combined Cycle ,2016,2015,2018,702,3,911,3.42,10.76,6600,6350,2015,n
Conv Combustion Turbine,1997,1995,1996,NA,3,353,0.1,12.1,11900,9700,1995,2010
Conv Combustion Turbine,1996,1987,1990,NA,NA,275,0.1,9.4,11900,10663,1995,2010
Conv Combustion Turbine,1998,1996,1996,160,2,325,5,4,11900,10600,1,n
Conv Combustion Turbine,2011,2009,2012,85,2,916,8.15,9.75,10745,10450,2010,n
Conv Combustion Turbine,2013,2011,2014,85,2,910,15.18,7.21,10850,10450,2012,n
Conv Combustion Turbine,2014,2012,2015,85,2,924,15.45,7.34,10817,10450,2013,n
Conv Combustion Turbine,2015,2013,2016,85,2,922,15.44,7.34,10783,10450,2014,n
Conv Combustion Turbine,2016,2015,2017,100,2,1026,3.42,17.12,9960,9600,2015,n
Conv Combustion Turbine,2012,2010,2013,85,2,927,14.7,6.98,10745,10450,2011,n
Conv Combustion Turbine,1999,1997,1998,160,2,329,0.1,6.35,11900,10600,1,n
Conv Combustion Turbine,2000,1998,1998,160,2,332,0.1,6.35,11900,10600,1,n
Conv Combustion Turbine,2001,1999,2003,160,2,315,0.1,6.3,11467,10600,2000,2010
Conv Combustion Turbine,2002,2000,2002,160,2,323,0.1,6.45,11380,10600,2001,2010
Conv Combustion Turbine,2006,2004,2007,160,2,388,3.25,11.03,10842,10450,2005,n
Conv Combustion Turbine,2007,2005,2008,160,2,400,3.36,11.4,10807,10450,2006,n
Conv Combustion Turbine,2009,2007,2010,160,2,638,3.57,12.11,10810,10450,2008,n
Conv Combustion Turbine,2004,2002,2005,160,2,394,4.14,10.34,10878,10450,2003,n
Conv Combustion Turbine,2005,2003,2006,160,2,376,3.16,10.72,10817,10450,2004,n
Conv Combustion Turbine,2003,2001,2004,160,2,389,4.09,10.22,10939,10450,2002,n
Conv Combustion Turbine,2008,2006,2009,160,2,476,3.47,11.78,10833,10450,2007,n
Conv Combustion Turbine,2010,2008,2011,160,2,653,3.65,12.38,10788,10450,2009,n
Conv Hydropower,1996,1987,NA,NA,3,2176,3.2,10.2,NA,NA,NA,NA
Conv Hydropower,2006,2004,2009,500,4,1320,3.2,12.72,10338,10338,2005,n
Conv Hydropower,2007,2005,2010,500,4,1364,3.3,13.14,10107,10107,2006,n
Conv Hydropower,2008,2006,2011,500,4,1410,3.41,13.59,10022,10022,2007,n
Conv Hydropower,2009,2007,2012,500,4,2038,2.43,13.63,9919,9919,2008,n
Conv Hydropower,2010,2008,2013,500,4,2084,2.49,13.93,9884,9884,2009,n
Conv Hydropower,2011,2009,2014,500,4,2019,2.42,13.55,9854,9854,2010,n
Conv Hydropower,2012,2010,2015,500,4,2134,2.55,14.27,9760,9760,2011,n
Conv Hydropower,2013,2011,2016,500,4,2179,2.6,14.57,9756,9756,2012,n
Conv Hydropower,2014,2012,2017,500,4,2213,2.65,14.83,9716,9716,2013,n
Conv Hydropower,2015,2013,2018,500,4,2410,5.76,15.15,9516,9516,2014,n
Conv Hydropower,2016,2015,2019,500,4,2191,2.62,14.7,9541,9541,2015,n
Conv Hydropower,2005,2003,2008,500,4,1319,4.6,12.35,10338,10338,2004,n
IGCC,2012,2010,2015,1200,4,3010,6.87,48.9,8700,7450,2011,n
IGCC,2011,2009,2014,1200,4,2974,6.79,58.52,8700,7450,2010,n
Distributed Generation - Base,2001,1999,2004,2,3,579,14.75,3.92,10991,9210,2000,2010
Distributed Generation - Peak,2001,1999,2003,1,2,520,22.55,12.26,10620,10500,2000,2010
Distributed Generation - Base,2002,2000,2004,2,3,593,15.11,4.02,10991,9210,2001,2010
Distributed Generation - Peak,2002,2000,2003,1,2,533,23.1,12.56,10620,10500,2001,2010
Distributed Generation - Base,2003,2001,2005,2,3,766,6.13,13.79,9400,8900,2002,n
Distributed Generation - Peak,2003,2001,2004,1,2,919,6.13,13.79,10400,9880,2002,n
Distributed Generation - Base,2004,2002,2006,2,3,775,6.2,13.95,9400,8900,2003,n
Distributed Generation - Peak,2004,2002,2005,1,2,930,6.2,13.95,10400,9880,2003,n
Distributed Generation - Base,2005,2003,2007,2,3,769,6.3,14.18,9950,8900,2004,n
Distributed Generation - Peak,2005,2003,2006,1,2,924,6.3,14.18,11200,9880,2004,n
Distributed Generation - Base,2006,2004,2008,2,3,791,6.49,14.6,9650,8900,2005,n
Distributed Generation - Peak,2006,2004,2007,1,2,951,6.49,14.6,10823,9880,2005,n
Distributed Generation - Base,2007,2005,2009,2,3,818,6.7,15.08,9500,8900,2006,n
Distributed Generation - Peak,2007,2005,2008,1,2,983,6.7,15.08,10634,9880,2006,n
Distributed Generation - Base,2008,2006,2009,5,2,972,6.93,15.59,9200,8900,2007,n
Distributed Generation - Peak,2008,2006,2010,2,3,1168,6.93,15.59,10257,9880,2007,n
Distributed Generation - Base,2009,2007,2011,2,3,1305,7.12,16.03,9050,8900,2008,n
Distributed Generation - Peak,2009,2007,2010,1,2,1566,7.12,16.03,10069,9880,2008,n
Distributed Generation - Base,2010,2008,2012,2,3,1334,7.28,16.39,9050,8900,2009,n
Distributed Generation - Peak,2010,2008,2011,1,2,1601,7.28,16.39,10069,9880,2009,n
Distributed Generation - Base,2011,2009,2013,2,3,1349,7.37,16.58,9050,8900,2010,n
Distributed Generation - Peak,2011,2009,2012,1,2,1620,7.37,16.58,10069,9880,2010,n
Distributed Generation - Base,2012,2010,2014,2,3,1366,7.46,16.78,9050,8900,2011,n
Distributed Generation - Peak,2012,2010,2013,1,2,1640,7.46,16.78,10056,9880,2011,n
Distributed Generation - Base,2013,2011,2015,2,3,1395,7.62,17.14,9038,8900,2012,n
Distributed Generation - Peak,2013,2011,2015,1,2,1675,7.62,17.14,10042,9880,2012,n
Distributed Generation - Base,2014,2012,2016,2,3,1414,7.76,17.45,9027,8900,2013,n
Distributed Generation - Peak,2014,2012,2015,1,2,1698,7.76,17.45,10029,9880,2013,n
Fuel Cells,1996,1987,2000,NA,NA,1071,0.3,17.9,6450,5687,1995,2010
Fuel Cells,1997,1995,2003,NA,3,2247,2,14.1,6000,5500,1995,2010
Fuel Cells,1998,1996,1998,10,2,2189,2,14.4,6000,5361,1,n
Fuel Cells,1999,1997,2001,10,2,2146,2.05,14.74,6000,5361,1,n
Fuel Cells,2000,1998,2001,10,2,2163,2.05,14.74,6000,5361,1,n
Fuel Cells,2001,1999,2004,10,3,1767,2.03,14.63,5787,5361,2000,2010
Fuel Cells,2002,2000,2004,10,3,1810,2.08,14.98,5744,5361,2001,2010
Fuel Cells,2003,2001,2005,10,3,1850,20.43,7.15,7500,6750,2002,n
Fuel Cells,2004,2002,2006,10,3,1872,20.67,7.23,7446,6750,2003,n
Fuel Cells,2005,2003,2007,10,3,3679,42.4,5,7930,6960,2004,n
Fuel Cells,2006,2004,2008,10,3,3787,43.64,5.15,7930,6960,2005,n
Fuel Cells,2007,2005,2009,10,3,3913,45.09,5.32,7873,6960,2006,n
Fuel Cells,2008,2006,2010,10,3,4653,46.62,5.5,7930,6960,2007,n
Fuel Cells,2009,2007,2011,10,3,4640,47.92,5.65,7930,6960,2008,n
Fuel Cells,2010,2008,2012,10,3,4744,49,5.78,7930,6960,2009,n
Fuel Cells,2011,2009,2013,10,3,5846,0,345.8,9500,6960,2010,n
Fuel Cells,2012,2010,2014,10,3,5918,0,350,9500,6960,2011,n
Fuel Cells,2013,2011,2015,10,3,6045,0,357.47,9500,6960,2012,n
Fuel Cells,2014,2012,2016,10,3,6099,42.99,0,9500,6960,2013,n
Fuel Cells,2015,2013,2017,10,3,6042,42.97,0,9500,6960,2014,n
Fuel Cells,2016,2015,2018,10,3,6217,44.21,0,9500,6960,2015,n
Gas/Oil Steam Turbine,2000,1998,1997,300,2,1012,0.51,30.7,9500,9500,1,n
Gas/Oil Steam Turbine,1999,1997,1997,300,2,1004,0.51,30.7,9500,9500,1,n
Distributed Generation - Base,2015,2013,2017,2,3,1407,7.75,17.44,9015,8900,2014,n
Distributed Generation - Peak,2015,2013,2016,1,2,1689,7.75,17.44,10015,9880,2014,n
Distributed Generation - Base,2016,2015,2018,2,3,1448,7.98,17.94,9004,8900,2015,n
Distributed Generation - Peak,2016,2015,2017,1,2,1739,7.98,17.94,10002,9880,2015,n
Geothermal,2016,2015,2019,50,4,2559,0,116.12,9541,9541,2015,n
Geothermal,2015,2013,2018,50,4,2331,0,112.85,9516,9516,2014,n
Geothermal,2014,2012,2016,50,4,2375,0,112.92,9716,9716,2013,n
Geothermal,2013,2011,2013,50,4,2444,0,110.94,9756,9756,2012,n
Geothermal,2012,2010,2011,50,4,2393,9.64,108.62,9760,9760,2011,n
Geothermal,2011,2009,2011,50,4,2364,9.52,107.27,30000,30000,2010,n
Geothermal,2010,2008,2010,50,4,1666,0,168.33,32969,30326,2009,n
Geothermal,2009,2007,2010,50,4,1630,0,164.64,34633,30301,2008,n
Geothermal,2008,2006,2011,50,4,1057,0,160.18,35376,33729,2007,n
Geothermal,2007,2005,2010,50,4,1790,0,154.92,36025,30641,2006,n
Geothermal,2006,2004,2009,50,4,2100,0,75,32173,35460,2005,n
Geothermal,2005,2003,2008,50,4,2960,0,104.98,45335,36468,2004,n
Geothermal,2004,2002,2007,50,4,2099,0,79.28,37259,36468,2003,n
Geothermal,2003,2001,2006,50,4,1681,0,71.75,32320,31797,2002,n
Geothermal,2002,2000,2006,50,4,1663,0,70.07,32173,32173,2001,2010
Geothermal,2001,1999,2005,50,4,1626,0,70.69,31241,30862,2000,2010
Geothermal,2000,1998,1997,50,4,1621,0,85.9,32391,NA,1,n
Geothermal,1999,1997,1997,50,4,1831,0,85.9,32391,NA,1,n
Geothermal,1998,1996,1996,50,4,NA,0,95.7,32391,NA,1,n
Geothermal,1997,1995,1996,NA,4,NA,0,93.4,32391,NA,1995,2010
Geothermal,1996,1987,NA,NA,4,2337,0,64.6,NA,NA,NA,NA
IGCC,2010,2008,2013,550,4,2401,2.99,39.53,8765,7450,2009,n
IGCC,2009,2007,2012,550,4,2223,2.92,38.67,8765,7450,2008,n
IGCC,2008,2006,2011,550,4,1657,2.84,37.62,8765,7450,2007,n
IGCC,2007,2005,2010,550,4,1394,2.75,36.38,8309,7200,2006,n
IGCC,2006,2004,2009,550,4,1349,2.65,35.21,8309,7200,2005,n
IGCC,2005,2003,2008,550,4,1310,2.58,34.21,8309,7200,2004,n
IGCC,2004,2002,2007,550,4,1292,2.07,34.11,8000,7200,2003,n
IGCC,2003,2001,2006,550,4,1277,2.04,33.72,8000,7200,2002,n
IGCC,2002,2000,2005,428,4,1250,0.8,32.67,7869,6968,2001,2010
IGCC,2001,1999,2005,428,4,1220,0.78,31.89,7969,6968,2000,2010
IGCC,2000,1998,1997,428,4,1315,0.79,32.13,8470,6968,1,n
IGCC,1999,1997,1997,428,4,1606,0.79,32.13,8470,6968,1,n
IGCC,1998,1996,2000,380,4,1833,1.87,24.2,8470,7308,1,n
IGCC,1997,1995,2000,NA,4,2159,1.3,50.7,8730,7582,1995,2010
IGCC,1996,1987,2000,NA,NA,1008,1,39.4,8730,7582,1995,2010
IGCC with Carbon Sequestration,2015,2013,2018,520,4,5891,8.44,72.8,10700,8307,2014,n
IGCC with Carbon Sequestration,2014,2012,2017,520,4,5958,8.45,72.84,10700,8307,2013,n
IGCC with Carbon Sequestration,2012,2010,2017,520,4,4852,8.04,69.3,10700,8307,2011,n
IGCC with Carbon Sequestration,2011,2009,2016,520,4,4797,8.83,68.47,10700,8307,2010,n
IGCC with Carbon Sequestration,2010,2008,2016,380,4,3427,4.54,47.15,10781,8307,2009,n
Scrubbed Coal New,2015,2013,2018,1300,4,2726,4.47,31.16,8800,8740,2014,n
IGCC with Carbon Sequestration,2009,2007,2016,380,4,3172,4.44,46.12,10781,8307,2008,n
Scrubbed Coal New,2014,2012,2017,1300,4,2734,4.47,31.18,8800,8740,2013,n
IGCC with Carbon Sequestration,2008,2006,2011,380,4,2302,4.32,44.27,10781,8307,2007,n
IGCC with Carbon Sequestration,2007,2005,2010,380,4,1936,4.18,42.82,9713,7920,2006,n
IGCC with Carbon Sequestration,2006,2004,2010,380,4,1873,4.04,41.44,9713,7920,2005,n
IGCC with Carbon Sequestration,2005,2003,2010,380,4,1820,3.93,40.26,9713,7920,2004,n
IGCC with Carbon Sequestration,2004,2002,2010,380,4,1894,2.53,40.47,9600,7920,2003,n
MSW,2016,2015,2018,50,3,7954,9,403.97,14360,18000,2015,n
MSW,2015,2013,2017,50,3,7730,8.74,392.6,14878,18000,2014,n
MSW,2014,2012,2014,50,3,7751,8.75,392.81,18000,18000,2013,n
MSW,2013,2011,2013,50,3,7858,8.51,381.74,13648,13648,2012,n
MSW,2012,2010,2011,50,3,7694,8.33,378.76,13648,13648,2011,n
MSW,2011,2009,2011,50,3,7698,8.23,369.28,13648,13648,2010,n
MSW,2010,2008,2010,30,3,2430,0.01,116.8,13648,13648,2009,n
MSW,2009,2007,2010,30,3,2377,0.01,114.25,13648,13648,2008,n
MSW,2008,2006,2010,30,3,1773,0.01,111.15,13648,13648,2007,n
MSW,2007,2005,2009,30,3,1491,0.01,107.5,13648,13648,2006,n
MSW,2006,2004,2008,30,3,1443,0.01,104.03,13648,13648,2005,n
MSW,2005,2003,2007,30,3,1402,0.01,101.07,13648,13648,2004,n
MSW,2004,2002,2006,30,3,1381,0.01,99.57,13648,13648,2003,n
MSW,2003,2001,2005,30,3,1365,0.01,98.42,13648,13648,2002,n
MSW,2002,2000,2004,30,3,1336,0.01,96.31,13648,13648,2001,2010
MSW,2001,1999,2004,30,3,1304,0.01,94.01,13648,13648,2000,2010
MSW,2000,1998,1996,30,1,4424,5.53,0,16000,16000,1,n
MSW,1999,1997,1996,30,1,NA,5.53,0,16000,16000,1,n
MSW,1998,1996,1996,30,1,6403,5.4,0,16000,16000,1,n
MSW,1997,1995,1996,NA,1,6252,NA,16.7,16377,16377,1995,2010
MSW,1996,1987,NA,NA,1,5456,-1,12.8,NA,NA,NA,NA
Adv Nuclear,1997,1995,2005,NA,4,2534,0.4,53.7,10400,10400,1995,2010
Gas/Oil Steam Turbine,1998,1996,1996,300,2,991,0.5,30,9500,9500,1,n
Gas/Oil Steam Turbine,1997,1995,1996,NA,1,968,0.5,29.3,9500,9500,1995,2010
Gas/Oil Steam Turbine,1996,1987,1990,NA,NA,752,5.2,5.3,9477,9477,1995,2010
Photovoltaic,1999,1997,1998,5,2,4162,0,9.82,NA,NA,1,n
Photovoltaic,2000,1998,1998,5,2,4836,0,9.82,NA,NA,1,n
Photovoltaic,2004,2002,2005,5,2,3810,0,10.08,10280,10280,2003,n
Photovoltaic,2005,2003,2006,5,2,3868,0,10.34,10280,10280,2004,n
Photovoltaic,2006,2004,2007,5,2,3981,0,10.64,10280,10280,2005,n
Photovoltaic,2007,2005,2008,5,2,4114,0,10.99,10280,10280,2006,n
Photovoltaic,2008,2006,2009,5,2,5380,0,11.37,10022,10022,2007,n
Photovoltaic,2009,2007,2011,5,2,5750,0,11.68,9919,9919,2008,n
Photovoltaic,2010,2008,2011,5,2,5879,0,11.94,9884,9884,2009,n
Photovoltaic,2011,2009,2012,150,2,4474,0,25.73,9854,9854,2010,n
Photovoltaic,2012,2010,2013,150,2,4528,0,16.7,9760,9760,2011,n
Photovoltaic,2013,2011,2014,150,2,3624,0,21.37,9756,9756,2012,n
Photovoltaic,2014,2012,2015,150,2,3394,0,24.69,9716,9716,2013,n
Photovoltaic,2015,2013,2016,150,2,3123,0,24.68,9516,9516,2014,n
Photovoltaic,2016,2015,2017,150,2,2362,0,21.33,9541,9541,2015,n
Photovoltaic,1996,1987,1997,50,3,2657,0,5.1,NA,NA,NA,NA
Photovoltaic,1998,1996,1999,5,2,4556,0,9.7,NA,NA,1,n
Photovoltaic,2001,1999,2003,5,2,3681,0,9.85,102809,102809,2000,2010
Photovoltaic,2002,2000,2003,5,2,3317,0,9.85,10280,10280,2001,2010
Photovoltaic,2003,2001,2004,5,2,3389,0,10.06,10280,10280,2002,n
Photovoltaic,1997,1995,1999,NA,3,3336,0,6.7,NA,NA,1995,2010
Pulverized Coal,1996,1987,2000,NA,NA,1190,1.9,40.5,9961,8142,1995,2010
Pulverized Coal,1997,1995,2000,NA,4,1430,2.4,34.2,9961,9463,1995,2010
Pulverized Coal (95% Scrubber),1998,1996,2000,400,4,1079,3.25,22.5,9585,9087,1,n
Pulverized Coal with Carbon sequestion,2013,2011,2017,650,4,4662,4.37,65.31,12000,9316,2012,n
Scrubbed Coal New,2013,2011,2016,1300,4,2694,4.39,30.64,8800,8740,2012,n
Scrubbed Coal New,2012,2010,2015,1300,4,2658,4.25,29.67,8800,8740,2011,n
Scrubbed Coal New,2011,2009,2014,1300,4,2625,4.2,29.31,8800,8740,2010,n
Scrubbed Coal New,2010,2008,2013,600,4,2078,4.69,28.15,9200,8740,2009,n
Scrubbed Coal New,2009,2007,21012,600,4,1923,4.59,27.53,9200,8740,2008,n
