status_code	status_code_text	
A	proposed increase in generator capability	# remain
BU	backup	# remain
CN	cancelled	  # Remove previously planned but now canceled projects
CO	under construction	"  # Remove units under construction, units awaiting regulatory approval, and units with regulatory approval but not under construciton"
D	proposed decrease in generator capability	# remain
FC	planned fuel conversion	# remain
IP	"planned, indefinitely postponed"	"  # Remove planned projects (P and PL) and indefinitely postponed, "
L	regulatory approval pending but site prep potentially underway	"  # Remove units under construction, units awaiting regulatory approval, and units with regulatory approval but not under construciton"
LE	"environmental, site or legal challenges"	  # Remove sites that are not constructed (legal delays)
M	proposed deactivated shutdown	# remain
MO	modification planned for existing generator	# remain
OA	out of service but expected to return this year	# remain
OP	operating	# remain
OS	out of service > 365 days not expected to return this year	# remain
OT	other	# remain
P	planned but no regulatory approvals	"  # Remove planned projects (P and PL) and indefinitely postponed, "
PL	planned not under construction	"  # Remove planned projects (P and PL) and indefinitely postponed, "
RA	planned reactivation of previously retired or deactivated unit	  # Remove not yet reactivated plants
RE	retired	  # If we keep the retired plants in the database we can backout capacity additions for each year using the retired date (which is available)
RP	proposed repowering	# remain
RT	scheduled for retirement	# remain
SB	standby or backup	# remain
SC	cold shutdown	# remain
SD	sold to nonutility	# remain
T	regulatory approved but not under construction	"  # Remove units under construction, units awaiting regulatory approval, and units with regulatory approval but not under construciton"
TS	construction complete but not in commercial operation	
U	under construction < 50 percent complete	  # Remove additional plants under construction (U and V) and constructed power plants not yet in operation
V	under construction > 50 percent complete	  # Remove additional plants under construction (U and V) and constructed power plants not yet in operation
