"YEAR","generation","consumption","prime_mover","fuel"
1990,15795,12,"HY","WAT"
1990,18916,14171,"ST","FO2"
1990,23492,11369,"ST","BIT"
1990,16906,9960,"ST","NG"
1990,16924,12,"HY","WAT"
1990,6220,3879,"ST","FO2"
1990,5094,6400,"ST","NG"
1990,10031,8339,"ST","FO2"
1990,10339,5931,"ST","BIT"
1990,11734,9167,"ST","NG"
1990,13532,10095,"ST","FO2"
1990,25701,9381,"ST","BIT"
1990,1896,12,"GT","FO2"
1990,7405,8059,"GT","NG"
1990,16263,8432,"ST","FO2"
1990,12965,17955,"ST","BIT"
1990,17513,12,"HY","WAT"
1990,13384,12,"HY","WAT"
1990,18026,12,"HY","WAT"
1990,14609,12,"HY","WAT"
1990,12671,12,"HY","WAT"
1990,16576,12,"HY","WAT"
1990,10127,12,"HY","WAT"
1990,13259,12,"HY","WAT"
1990,19324,12,"HY","WAT"
1990,9746,12,"HY","WAT"
1990,17084,12,"HY","WAT"
1990,12933,7193,"ST","FO2"
1990,22860,10814,"ST","BIT"
1990,8776,12873,"GT","FO2"
1990,13488,7026,"IC","FO2"
1990,3221,914,"IC","NG"
1990,17311,12,"HY","WAT"
1990,14219,12,"HY","WAT"
1990,472,12,"ST","UR"
1990,1380,12,"ST","UR"
1990,540,12,"ST","UR"
1990,14211,10908,"ST","FO2"
1990,19821,7498,"ST","BIT"
1990,2592,5768,"GT","FO2"
1990,7322,4499,"GT","NG"
1990,23734,12,"HY","WAT"
1990,19974,12,"HY","WAT"
1990,9644,8014,"ST","FO2"
1990,24012,9071,"ST","BIT"
1990,15974,10337,"ST","LIG"
1990,17511,8586,"ST","NG"
1990,10929,12,"HY","WAT"
1990,18935,12,"HY","WAT"
1990,10953,9955,"ST","BIT"
1990,19858,10440,"ST","BIT"
1990,12797,10741,"ST","FO2"
1990,11206,5916,"ST","BIT"
1990,12589,12,"HY","WAT"
1990,18343,12,"HY","WAT"
1990,4119,2599,"IC","FO2"
1990,15691,14325,"IC","FO2"
1990,13524,12,"HY","WAT"
1990,18309,12,"HY","WAT"
1990,18140,9508,"IC","FO2"
1990,22744,9275,"IC","FO2"
1990,23412,12,"HY","WAT"
1990,17972,12,"HY","WAT"
1990,15169,12,"HY","WAT"
1990,16910,10940,"IC","FO2"
1990,3305,2894,"GT","FO2"
1990,9811,11128,"GT","NG"
1990,14502,11884,"IC","FO2"
1990,8789,12,"HY","WAT"
1990,9158,12,"HY","WAT"
1990,7908,5879,"ST","BIT"
1990,12217,10966,"GT","FO2"
1990,9526,12,"HY","WAT"
1990,3709,12191,"IC","FO2"
1990,537,8392,"IC","FO2"
1990,1896,12,"ST","FO2"
1990,8203,17318,"ST","BIT"
1990,16917,12940,"ST","NG"
1990,11649,12,"HY","WAT"
1990,11664,12642,"IC","FO2"
1990,27088,12,"HY","WAT"
1990,14047,9846,"IC","FO2"
1990,15971,12,"HY","WAT"
1990,5984,6447,"IC","FO2"
1990,23861,11999,"GT","NG"
1990,14609,12,"CW","NG"
1990,20957,11535,"CT","NG"
1990,6695,2049,"GT","FO2"
1990,12909,6349,"GT","NG"
1990,1896,12,"HY","WAT"
1990,13224,12,"HY","WAT"
1990,11292,7994,"ST","BIT"
1990,18945,11542,"ST","NG"
1990,4712,6849,"IC","FO2"
1990,9811,12,"HY","WAT"
1990,17895,8927,"ST","FO2"
1990,19945,9659,"ST","BIT"
1990,18931,14827,"ST","NG"
1990,8450,8158,"GT","FO2"
1990,10956,12,"HY","WAT"
1990,4275,345,"ST","FO6"
1990,10102,5522,"ST","NG"
1990,1896,12,"GT","FO2"
1990,15981,9611,"GT","NG"
1990,1896,12,"ST","FO6"
1990,1896,12,"ST","NG"
1990,3888,417,"GT","FO2"
1990,13013,12652,"GT","NG"
1990,6859,3221,"CT","FO2"
1990,1896,12,"CT","FO6"
1990,19157,13143,"CT","NG"
1990,1896,12,"ST","FO6"
1990,5824,1854,"ST","NG"
1990,4610,1338,"GT","FO2"
1990,14320,9024,"GT","NG"
1990,11207,3778,"GT","FO2"
1990,1896,12,"GT","FO6"
1990,10321,8901,"GT","NG"
1990,1896,12,"ST","FO6"
1990,10208,7819,"ST","NG"
1990,1372,12,"ST","NG"
1990,2584,1168,"GT","FO2"
1990,12637,9667,"GT","NG"
1990,22017,10412,"ST","BIT"
1990,11524,8287,"ST","NG"
1990,1896,12,"GT","FO2"
1990,8567,6864,"GT","NG"
1990,16977,7788,"ST","FO2"
1990,17444,7279,"ST","BIT"
1990,20418,12779,"ST","FO2"
1990,17821,2780,"ST","BIT"
1990,12199,11253,"ST","FO2"
1990,25491,9630,"ST","BIT"
1990,7980,6456,"ST","FO6"
1990,16416,12329,"ST","NG"
1990,11476,2510,"GT","FO2"
1990,9901,8336,"GT","NG"
1990,3237,12,"HY","WAT"
1990,975,12,"ST","FO6"
1990,15153,7088,"HY","WAT"
1990,4981,941,"ST","FO6"
1990,17670,7243,"ST","NG"
1990,5464,3674,"GT","FO2"
1990,16146,8512,"GT","NG"
1990,13766,11229,"HY","WAT"
1990,11513,12,"HY","WAT"
1990,13858,12,"HY","WAT"
1990,9498,5556,"GT","FO2"
1990,12559,6789,"GT","NG"
1990,14316,12,"HY","WAT"
1990,15376,12,"HY","WAT"
1990,12478,12,"HY","WAT"
1990,19924,12,"HY","WAT"
1990,9351,16019,"ST","BIT"
1990,16573,10350,"ST","NG"
1990,6247,7976,"GT","NG"
1990,6360,9626,"CW","NG"
1990,9028,8099,"CT","NG"
1990,9663,12,"HY","WAT"
1990,13671,12,"HY","WAT"
1990,1896,12,"IC","FO2"
1990,9651,3473,"ST","FO2"
1990,20411,9661,"ST","BIT"
1990,13075,6379,"ST","NG"
1990,19373,12,"HY","WAT"
1990,1896,12,"ST","FO2"
1990,1896,12,"ST","FO6"
1990,571,12,"ST","NG"
1990,1896,12,"IC","FO2"
1990,1896,12,"ST","FO2"
1990,1896,12,"ST","FO6"
1990,546,12,"ST","NG"
1990,1896,12,"ST","FO6"
1990,16723,12601,"ST","NG"
1990,3622,2256,"ST","FO6"
1990,9295,6445,"ST","NG"
1990,1896,12,"GT","FO2"
1990,4764,3845,"GT","NG"
1990,3805,2728,"ST","FO6"
1990,18619,10864,"ST","NG"
1990,1896,12,"GT","FO2"
1990,1896,12,"GT","NG"
1990,20655,12,"HY","WAT"
1990,17643,12,"HY","WAT"
1990,18526,12,"HY","WAT"
1990,13314,4274,"HY","WAT"
1990,16682,12,"HY","WAT"
1990,9710,8647,"IC","FO2"
1990,1896,12,"IC","NG"
1990,12912,12,"HY","WAT"
1990,11516,12,"HY","WAT"
1990,14103,12,"HY","WAT"
1990,14713,12,"HY","WAT"
1990,19584,12,"HY","WAT"
1990,13552,12,"ST","UR"
1990,14628,12223,"ST","FO2"
1990,27806,10393,"ST","BIT"
1990,23811,12,"ST","UR"
1990,19560,12,"HY","WAT"
1990,22133,12,"HY","WAT"
1990,7645,12,"HY","WAT"
1990,14437,12,"HY","WAT"
1990,15979,12,"HY","WAT"
1990,16817,12,"HY","WAT"
1990,9013,12,"HY","WAT"
1990,14456,12,"HY","WAT"
1990,20368,12,"HY","WAT"
1990,15308,12,"HY","WAT"
1990,10671,12,"HY","WAT"
1990,21366,12,"HY","WAT"
1990,23921,12,"HY","WAT"
1990,5618,4917,"ST","FO6"
1990,12786,8533,"ST","NG"
1990,13746,12,"HY","WAT"
1990,10385,12,"HY","WAT"
1990,8163,12,"HY","WAT"
1990,14327,12,"HY","WAT"
1990,12330,12,"HY","WAT"
1990,1919,2800,"IC","FO2"
1990,15536,12,"HY","WAT"
1990,11899,12,"HY","WAT"
1990,18162,12,"HY","WAT"
1990,13429,12,"HY","WAT"
1990,13983,12,"HY","WAT"
1990,12135,12,"HY","WAT"
1990,22260,12,"HY","WAT"
1990,14086,12,"HY","WAT"
1990,13370,12,"HY","WAT"
1990,17661,12,"HY","WAT"
1990,10467,5436,"ST","FO6"
1990,21905,5386,"ST","NG"
1990,6043,6524,"GT","FO2"
1990,4714,3097,"ST","FO6"
1990,8710,2981,"ST","NG"
1990,13560,8278,"GT","FO2"
1990,17809,12,"HY","WAT"
1990,18488,12,"HY","WAT"
1990,10890,12,"HY","WAT"
1990,19902,12,"HY","WAT"
1990,10160,12,"HY","WAT"
1990,25403,12,"HY","WAT"
1990,5334,12,"HY","WAT"
1990,10663,7527,"ST","FO6"
1990,16558,11278,"ST","NG"
1990,8474,6604,"ST","FO6"
1990,25374,16749,"ST","NG"
1990,16144,12,"HY","WAT"
1990,12268,12,"HY","WAT"
1990,16566,12,"HY","WAT"
1990,10016,12,"HY","WAT"
1990,13801,12,"HY","WAT"
1990,16990,12,"HY","WAT"
1990,24198,12,"HY","WAT"
1990,11466,12,"HY","WAT"
1990,15219,12,"HY","WAT"
1990,10010,5208,"ST","FO6"
