"YEAR","generation","consumption","prime_mover","fuel"
1990,24096,16907,"ST","NG"
1990,15045,12,"HY","WAT"
1990,6044,2389,"ST","FO6"
1990,17783,11738,"ST","NG"
1990,16483,10342,"GT","FO2"
1990,17776,12,"HY","WAT"
1990,11631,12,"HY","WAT"
1990,6756,12,"HY","WAT"
1990,7678,12,"HY","WAT"
1990,8040,12,"HY","WAT"
1990,13673,12,"HY","WAT"
1990,17859,12,"HY","WAT"
1990,12499,12,"HY","WAT"
1990,16996,12,"HY","WAT"
1990,16019,12,"HY","WAT"
1990,16231,12,"HY","WAT"
1990,14070,12,"HY","WAT"
1990,14820,12,"HY","WAT"
1990,16889,12,"HY","WAT"
1990,15066,12,"HY","WAT"
1990,24160,12,"HY","WAT"
1990,20992,12,"HY","WAT"
1990,21449,12,"HY","WAT"
1990,20670,12,"HY","WAT"
1990,17081,12,"HY","WAT"
1990,12423,12,"HY","WAT"
1990,17090,12,"HY","WAT"
1990,9774,8467,"ST","FO2"
1990,27096,16809,"ST","LIG"
1990,11425,7653,"ST","NG"
1990,8872,12,"ST","GEO"
1990,11356,6629,"GT","FO2"
1990,4046,4462,"GT","FO2"
1990,13689,5643,"GT","NG"
1990,12313,9211,"ST","FO6"
1990,13914,8588,"ST","NG"
1990,2620,2878,"GT","FO2"
1990,9617,7513,"GT","NG"
1990,14137,10156,"GT","FO2"
1990,17176,10737,"GT","NG"
1990,8426,6787,"GT","FO2"
1990,14027,11823,"GT","NG"
1990,5376,5688,"GT","FO2"
1990,14487,7248,"GT","NG"
1990,10250,4960,"GT","FO2"
1990,15754,12162,"GT","NG"
1990,16954,12154,"ST","FO6"
1990,11996,7747,"ST","NG"
1990,3869,5880,"GT","FO2"
1990,6523,9696,"GT","NG"
1990,1310,15583,"ST","NG"
1990,17376,9398,"ST","BIT"
1990,20523,12,"HY","WAT"
1990,10758,12,"HY","WAT"
1990,11225,6115,"ST","FO6"
1990,16506,11085,"ST","NG"
1990,8140,5312,"GT","FO2"
1990,15817,12669,"GT","NG"
1990,19525,12,"HY","WAT"
1990,12627,12,"HY","WAT"
1990,13014,12,"HY","WAT"
1990,17507,12,"HY","WAT"
1990,16463,12,"HY","WAT"
1990,13761,12,"HY","WAT"
1990,14914,12,"HY","WAT"
1990,10769,12,"HY","WAT"
1990,10628,12,"HY","WAT"
1990,14555,12,"HY","WAT"
1990,15545,12,"HY","WAT"
1990,20549,12,"HY","WAT"
1990,7026,12,"HY","WAT"
1990,1770,12,"ST","FO6"
1990,16049,11161,"ST","NG"
1990,1896,12,"CW","NG"
1990,15280,8259,"CT","FO2"
1990,12996,8586,"CT","NG"
1990,11306,5810,"ST","FO6"
1990,15284,8659,"ST","NG"
1990,11297,4346,"ST","FO6"
1990,14901,10538,"ST","NG"
1990,1896,12,"GT","FO2"
1990,15387,9350,"GT","NG"
1990,13490,12,"HY","WAT"
1990,1144,12,"ST","FO6"
1990,7984,6163,"ST","NG"
1990,10877,5898,"ST","FO6"
1990,18114,14175,"ST","NG"
1990,3740,7369,"GT","FO2"
1990,13330,8498,"GT","NG"
1990,10687,12,"HY","WAT"
1990,15528,12,"HY","WAT"
1990,10778,12,"HY","WAT"
1990,15267,12,"HY","WAT"
1990,15990,12,"HY","WAT"
1990,1896,12,"CW","NG"
1990,5448,1718,"CT","FO2"
1990,17948,13333,"CT","NG"
1990,17926,12,"HY","WAT"
1990,17547,12,"HY","WAT"
1990,15301,12,"HY","WAT"
1990,14635,9004,"ST","FO6"
1990,12397,8983,"ST","NG"
1990,15907,9986,"GT","FO2"
1990,12245,12,"HY","WAT"
1990,12488,12,"HY","WAT"
1990,10889,12,"HY","WAT"
1990,20532,12,"HY","WAT"
1990,7849,3553,"ST","FO6"
1990,16072,10947,"ST","NG"
1990,14605,12,"HY","WAT"
1990,18694,12,"HY","WAT"
1990,1896,12,"HY","WAT"
1990,1896,12,"ST","FO6"
1990,16500,12490,"ST","NG"
1990,16231,12,"HY","WAT"
1990,2851,18,"ST","FO6"
1990,9877,7598,"ST","NG"
1990,21607,12,"HY","WAT"
1990,7019,12,"ST","UR"
1990,26550,12,"ST","UR"
1990,20333,12,"ST","UR"
1990,18701,12,"HY","WAT"
1990,11920,12,"HY","WAT"
1990,6138,12,"HY","WAT"
1990,15422,12,"HY","WAT"
1990,6876,12,"HY","WAT"
1990,18861,12,"ST","UR"
1990,1896,12,"ST","FO6"
1990,4074,10741,"ST","NG"
1990,1897,1638,"GT","FO2"
1990,9070,10182,"GT","NG"
1990,15367,12,"HY","WAT"
1990,6638,3485,"ST","FO6"
1990,15543,4746,"ST","NG"
1990,6457,17692,"GT","FO2"
1990,7865,8696,"GT","NG"
1990,1896,12,"CW","FO2"
1990,5196,1646,"CW","FO6"
1990,10270,12,"CW","NG"
1990,1896,12,"CT","FO2"
1990,16723,11522,"CT","NG"
1990,16014,12,"HY","WAT"
1990,21049,12,"HY","WAT"
1990,18840,12,"HY","WAT"
1990,17859,12,"HY","WAT"
1990,1896,244,"IC","FO2"
1990,5660,4454,"GT","FO2"
1990,1896,12,"ST","FO2"
1990,10752,7486,"ST","BIT"
1990,12597,9397,"ST","NG"
1990,21761,12,"HY","WAT"
1990,20681,12,"HY","WAT"
1990,15115,12,"HY","WAT"
1990,11413,12,"HY","WAT"
1990,14741,11864,"ST","FO6"
1990,16045,12479,"ST","NG"
1990,18403,12,"HY","WAT"
1990,13629,12,"HY","WAT"
1990,13517,10540,"HY","WAT"
1990,17186,12,"HY","WAT"
1990,13354,12,"HY","WAT"
1990,15019,12,"HY","WAT"
1990,11230,12,"HY","WAT"
1990,9611,12,"HY","WAT"
1990,13048,12,"HY","WAT"
1990,6178,2257,"ST","FO6"
1990,11193,8579,"ST","NG"
1990,2742,7326,"GT","FO2"
1990,6933,6616,"GT","NG"
1990,10593,7449,"ST","FO6"
1990,16418,11110,"ST","NG"
1990,17101,12,"HY","WAT"
1990,12714,12,"HY","WAT"
1990,11872,12,"HY","WAT"
1990,7285,6339,"ST","FO6"
1990,10780,5577,"ST","NG"
1990,27059,2053,"IC","FO2"
1990,13406,12,"HY","WAT"
1990,3439,2704,"ST","FO6"
1990,12247,12183,"ST","NG"
1990,9057,12,"HY","WAT"
1990,8695,12,"HY","WAT"
1990,14514,12,"HY","WAT"
1990,21048,12,"HY","WAT"
1990,18868,12,"HY","WAT"
1990,14697,12,"HY","WAT"
1990,15997,12,"HY","WAT"
1990,17854,12,"HY","WAT"
1990,24435,12,"HY","WAT"
1990,10801,12,"HY","WAT"
1990,7334,2715,"ST","FO6"
1990,13662,10710,"ST","NG"
1990,28723,2889,"IC","FO2"
1990,1896,12,"ST","FO6"
1990,1813,12,"ST","NG"
1990,1896,12,"GT","FO2"
1990,12704,9194,"GT","NG"
1990,13130,6087,"IC","FO2"
1990,7564,12,"HY","WAT"
1990,20627,12,"HY","WAT"
1990,15132,12,"HY","WAT"
1990,17318,12,"HY","WAT"
1990,14855,12,"HY","WAT"
1990,15100,12,"HY","WAT"
1990,16933,12,"HY","WAT"
1990,17939,12,"HY","WAT"
1990,16822,12,"HY","WAT"
1990,11925,12,"HY","WAT"
1990,25736,12,"HY","WAT"
1990,12718,5423,"HY","WAT"
1990,16166,8481,"HY","WAT"
1990,17475,12,"HY","WAT"
1990,16704,12,"HY","WAT"
1990,11548,12,"HY","WAT"
1990,14931,12,"HY","WAT"
1990,13949,12,"HY","WAT"
1990,15797,12,"HY","WAT"
1990,16357,12,"HY","WAT"
1990,5490,12051,"HY","WAT"
1990,18334,12,"HY","WAT"
1990,8834,10111,"HY","WAT"
1990,19879,12,"HY","WAT"
1990,17116,12,"HY","WAT"
1990,3552,4050,"GT","FO2"
1990,19953,12,"HY","WAT"
1990,21537,12,"HY","WAT"
1990,8624,12,"HY","WAT"
1990,11394,12,"HY","WAT"
1990,9789,12,"HY","WAT"
1990,8930,12,"HY","WAT"
1990,4694,101,"ST","FO2"
1990,23555,9055,"ST","NG"
1990,12004,6409,"IC","FO2"
1990,1896,12,"HY","WAT"
1990,9609,6137,"ST","BIT"
1990,13329,9433,"ST","NG"
1990,8646,4651,"GT","FO2"
1990,7809,5850,"GT","NG"
1990,23221,14013,"ST","BIT"
1990,19075,15126,"ST","NG"
1990,17054,12,"HY","WAT"
1990,1096,10152,"HY","WAT"
1990,3304,3795,"ST","FO2"
1990,15639,6058,"ST","BIT"
1990,21691,16403,"ST","NG"
1990,15373,3601,"ST","BIT"
1990,15116,10595,"ST","NG"
1990,1896,12,"IC","FO2"
1990,19209,11494,"ST","FO2"
1990,15681,5991,"ST","BIT"
1990,16858,9787,"ST","NG"
1990,5284,4965,"GT","FO2"
1990,6412,6068,"GT","NG"
1990,16558,12,"HY","WAT"
1990,12952,12,"HY","WAT"
1990,19337,12,"HY","WAT"
1990,14245,12,"HY","WAT"
1990,15394,12,"HY","WAT"
1990,8779,14682,"ST","BIT"
1990,16320,11691,"ST","NG"
1990,5002,5150,"GT","FO2"
1990,7052,5768,"GT","NG"
1990,4018,884,"ST","FO6"
1990,9192,8578,"ST","NG"
1990,8243,12,"HY","WAT"
1990,7896,12,"HY","WAT"
1990,12263,12,"HY","WAT"
1990,29485,12,"HY","WAT"
1990,10773,12,"HY","WAT"
1990,15315,12,"HY","WAT"
1990,10443,12,"HY","WAT"
1990,12187,12,"HY","WAT"
1990,1896,12,"ST","FO2"
1990,1896,12,"ST","FO6"
1990,25281,15238,"ST","BIT"
1990,16770,11969,"ST","NG"
1990,1896,12,"ST","FO2"
1990,1896,12,"ST","FO6"
1990,1896,8600,"ST","NG"
1990,11822,12,"HY","WAT"
1990,11699,12,"HY","WAT"
1990,12440,13179,"IC","FO2"
1990,18952,11895,"IC","NG"
1990,13028,12,"HY","WAT"
1990,6845,12,"HY","WAT"
1990,1896,12,"IC","FO2"
1990,21805,12,"HY","WAT"
1990,257,7519,"IC","FO2"
1990,1896,7214,"IC","NG"
1990,1067,11541,"IC","FO2"
1990,3428,2820,"IC","NG"
1990,1896,12,"ST","FO2"
1990,26588,13861,"ST","NG"
1990,13178,12,"HY","WAT"
1990,22325,12,"ST","GEO"
1990,10745,7074,"ST","BIT"
1990,3968,1227,"IC","FO2"
1990,1896,12,"IC","NG"
1990,18186,12,"HY","WAT"
1990,13902,12,"HY","WAT"
1990,16711,12,"HY","WAT"
1990,9429,12,"HY","WAT"
1990,16076,12,"HY","WAT"
1990,15290,12,"HY","WAT"
1990,13923,859,"HY","WAT"
1990,10296,12,"HY","WAT"
1990,5282,12,"HY","WAT"
1990,9338,12,"HY","WAT"
1990,9847,12,"HY","WAT"
1990,15590,8892,"ST","FO2"
1990,12770,6844,"ST","BIT"
1990,12658,8319,"ST","NG"
1990,16730,11576,"ST","BIT"
1990,7568,12,"HY","WAT"
1990,3897,1350,"ST","BIT"
1990,8485,6361,"ST","NG"
1990,11466,12,"HY","WAT"
1990,1897,3825,"GT","FO2"
1990,8692,4307,"GT","NG"
1990,9817,12,"HY","WAT"
1990,6346,12,"HY","WAT"
1990,11829,7589,"HY","WAT"
1990,17447,11774,"GT","FO2"
1990,19578,12,"HY","WAT"
1990,10382,8894,"GT","FO2"
1990,17266,17863,"ST","FO2"
1990,16576,7024,"ST","FO6"
1990,19968,13436,"GT","FO2"
1990,6451,8938,"ST","FO2"
1990,17321,11105,"ST","FO6"
1990,17032,13176,"ST","NG"
1990,13106,13060,"IC","FO2"
1990,1086,4753,"HY","WAT"
1990,12718,9554,"ST","FO2"
1990,9940,6859,"ST","FO6"
1990,12998,11245,"GT","FO2"
1990,17992,12,"HY","WAT"
1990,16165,12,"ST","WD"
1990,3529,7057,"ST","NG"
1990,12819,12,"HY","WAT"
1990,9462,12,"HY","WAT"
1990,14351,12,"HY","WAT"
1990,11169,12,"HY","WAT"
1990,5457,1566,"GT","FO2"
1990,10341,12,"HY","WAT"
1990,17627,13174,"GT","FO2"
1990,5186,12,"ST","UR"
1990,15074,12,"HY","WAT"
1990,15277,12,"HY","WAT"
1990,14748,5089,"GT","FO2"
1990,12819,7444,"ST","FO2"
1990,10442,10612,"ST","FO6"
1990,11421,9464,"GT","FO2"
1990,14225,9482,"GT","FO2"
1990,6374,5123,"ST","FO2"
1990,12755,8958,"ST","FO6"
1990,10777,8287,"ST","BIT"
1990,10461,3827,"GT","FO2"
1990,19536,12,"ST","UR"
1990,18783,12,"ST","UR"
1990,27396,12,"ST","UR"
1990,14290,10780,"ST","FO2"
1990,17978,7469,"ST","FO6"
1990,12141,19130,"ST","BIT"
1990,3215,6689,"IC","FO2"
1990,9364,6013,"ST","FO2"
1990,11117,11041,"ST","FO6"
1990,15355,12,"HY","WAT"
1990,12050,12,"HY","WAT"
1990,11838,9906,"GT","FO2"
1990,19243,12,"HY","WAT"
1990,22456,12,"HY","WAT"
1990,25435,12,"HY","WAT"
1990,10340,12,"HY","WAT"
1990,25866,12,"HY","WAT"
1990,16153,12,"ST","WD"
1990,15850,11097,"ST","FO2"
1990,12494,10476,"ST","NG"
1990,16395,12,"HY","WAT"
1990,13300,13719,"GT","FO2"
1990,16050,14936,"ST","FO6"
1990,11216,9175,"ST","PC"
1990,11007,13065,"ST","NG"
1990,7536,6215,"GT","FO2"
1990,15802,8279,"ST","FO6"
1990,8235,13343,"ST","BIT"
1990,12961,8834,"ST","NG"
1990,10692,7640,"GT","FO2"
1990,15394,13193,"ST","FO2"
1990,15696,3972,"ST","BIT"
1990,14229,10984,"GT","FO2"
1990,7594,8365,"GT","FO2"
1990,12394,9259,"GT","FO2"
1990,9084,10810,"ST","FO2"
1990,11639,14629,"ST","FO6"
1990,18221,14634,"ST","NG"
1990,14118,9477,"IC","FO2"
1990,5234,3523,"ST","FO2"
1990,18166,5592,"ST","BIT"
1990,17021,9487,"ST","FO2"
1990,14016,10447,"ST","FO6"
1990,11254,9673,"GT","FO2"
1990,4779,3223,"GT","FO2"
1990,5809,3783,"GT","NG"
1990,9460,9868,"ST","FO6"
1990,14506,10109,"ST","NG"
1990,1896,12,"ST","FO6"
1990,9887,6529,"ST","NG"
1990,14274,9972,"ST","FO6"
1990,16715,7711,"GT","FO2"
1990,7781,7210,"ST","FO6"
1990,17216,13800,"ST","NG"
1990,15533,7346,"GT","FO2"
1990,14215,11041,"GT","NG"
1990,17756,14220,"ST","FO6"
1990,13277,8897,"ST","NG"
1990,1896,12,"IC","FO2"
1990,16391,11327,"GT","FO2"
1990,17224,5880,"GT","NG"
1990,14051,7868,"ST","FO6"
1990,15198,8928,"ST","NG"
1990,15064,7850,"ST","FO6"
1990,15431,9285,"ST","NG"
1990,15247,12,"ST","UR"
1990,17217,12,"ST","UR"
1990,10645,9121,"ST","FO6"
1990,8001,4935,"ST","NG"
1990,12041,12731,"IC","FO2"
1990,3345,1590,"GT","FO2"
1990,1896,12,"GT","NG"
1990,21139,12,"HY","WAT"
1990,22281,12,"HY","WAT"
1990,12862,10231,"GT","FO2"
1990,17707,12,"ST","UR"
1990,20737,10964,"ST","FO2"
1990,9014,14597,"ST","BIT"
1990,12182,8394,"ST","FO2"
1990,18952,11396,"ST","FO6"
1990,5356,3077,"ST","NG"
1990,16022,6906,"GT","FO2"
1990,13936,8936,"ST","FO2"
1990,17372,14910,"ST","FO6"
1990,6094,4176,"ST","NG"
1990,3572,2152,"GT","FO2"
1990,3510,3057,"GT","NG"
1990,17619,12,"HY","WAT"
1990,15602,11244,"ST","FO2"
1990,7526,8924,"ST","FO6"
1990,4540,1964,"ST","NG"
1990,20859,8014,"GT","FO2"
1990,13952,14090,"ST","FO2"
1990,11051,11334,"ST","FO6"
1990,16928,11040,"ST","NG"
1990,11636,12135,"GT","FO2"
1990,10842,12,"HY","WAT"
1990,20295,16330,"ST","FO2"
1990,16128,5171,"ST","BIT"
1990,13365,8132,"ST","NG"
1990,14522,10540,"ST","FO2"
1990,19753,6649,"ST","BIT"
1990,16935,13380,"ST","FO2"
1990,13071,15522,"ST","BIT"
1990,14862,9088,"GT","FO2"
1990,14172,12442,"ST","FO2"
1990,28629,11719,"ST","BIT"
1990,20356,6954,"GT","FO2"
1990,12272,9514,"ST","FO2"
1990,1896,12,"ST","FO6"
1990,20128,5656,"ST","BIT"
1990,14130,10952,"GT","FO2"
1990,2555,3094,"ST","FO2"
1990,5031,1170,"ST","FO6"
1990,23138,12,"ST","UR"
1990,21968,12,"ST","UR"
1990,8575,12,"HY","WAT"
1990,1896,12,"ST","FO6"
1990,10802,7767,"ST","NG"
1990,11521,8149,"IC","FO2"
1990,1896,12,"CT","FO2"
1990,9324,6164,"CT","NG"
1990,10253,9832,"ST","FO2"
1990,11163,7234,"ST","FO6"
1990,7726,14315,"ST","BIT"
1990,15810,12072,"ST","NG"
1990,5996,7688,"GT","FO2"
1990,14629,7763,"GT","NG"
1990,13322,4013,"ST","FO6"
1990,12572,6408,"ST","NG"
1990,2834,5756,"GT","FO2"
1990,16210,10525,"GT","NG"
1990,18298,9374,"IC","FO2"
1990,9516,7578,"IC","NG"
1990,11293,9220,"ST","FO6"
1990,12493,11122,"ST","NG"
1990,9889,11473,"GT","FO2"
1990,13055,11125,"ST","FO6"
1990,9620,6619,"ST","NG"
1990,11205,12091,"GT","FO2"
1990,10478,6432,"ST","FO6"
1990,10775,11383,"ST","NG"
1990,11495,12515,"IC","FO2"
1990,12718,11496,"IC","NG"
1990,15462,12,"CW","NG"
1990,1896,12,"CT","FO2"
1990,15259,9983,"CT","NG"
1990,4128,1660,"ST","FO6"
1990,18949,12264,"ST","NG"
1990,12229,12508,"IC","FO2"
1990,494,12,"GT","FO2"
1990,1896,12,"CW","FO2"
1990,1896,12,"CW","NG"
1990,8575,5908,"CT","FO2"
1990,10260,4683,"CT","NG"
1990,10648,12,"HY","WAT"
1990,7015,5482,"ST","FO6"
1990,11981,11957,"ST","NG"
1990,9273,9460,"GT","FO2"
1990,7496,10621,"GT","NG"
1990,15242,6558,"ST","FO6"
1990,11061,18684,"ST","BIT"
1990,15531,10007,"ST","NG"
1990,12110,12940,"IC","FO2"
1990,13701,11477,"GT","FO2"
1990,16960,12,"HY","WAT"
1990,13833,13006,"IC","FO2"
1990,19456,6760,"IC","FO2"
1990,19367,8677,"IC","NG"
1990,15886,12,"HY","WAT"
1990,18655,9993,"ST","FO2"
1990,15140,8685,"ST","FO6"
1990,17506,13111,"ST","NG"
1990,12455,6900,"GT","FO2"
1990,21738,11774,"GT","NG"
1990,19377,16018,"IC","FO2"
1990,15921,11814,"IC","NG"
1990,12884,12870,"IC","FO2"
1990,20754,5350,"IC","FO2"
1990,16352,16274,"IC","NG"
1990,5760,2694,"ST","FO6"
1990,14982,8208,"ST","NG"
1990,3084,1696,"GT","FO2"
1990,13072,6808,"GT","NG"
1990,3793,805,"ST","FO6"
1990,11779,8368,"ST","NG"
1990,3100,1217,"GT","FO2"
1990,10785,11270,"GT","NG"
1990,12195,12,"HY","WAT"
1990,1896,14,"ST","FO2"
1990,6235,3729,"ST","FO6"
1990,12787,7611,"ST","NG"
