"FUELTYP","FUELDESC","n"
"","WAT",13159
"1","UR",1178
"2","FO2",17133
"3","FO6",3070
"4","ANT",39
"5","PC",145
"6","BIT",4830
"7","LIG",231
"9","NG",11005
"9","WH",149
"9","WT",10
"A","GEO",37
"A","WOD",9
"B","N/A",11
"B","WD",14
"B","WOD",75
"C","GEO",11
"C","ITG",4
"C","N/A",34
"C","REF",29
"C","TIR",19
"C","WHT",1
"C","WOD",62
"D","GEO",9
"D","N/A",20
"D","WI",22
"E","N/A",33
"E","SO",13
"E","SP",6
