"PMOVER","PMDESC","n"
1,"HY",13159
2,"ST",19572
3,"IC",8428
4,"GT",8566
5,"CC",606
6,"CT",920
6,"GT",4
7,"WI",38
7,"WT",13
8,"SO",52
