"","x"
"1","HC"
"2","IC"
"3","ST"
"4","GT"
"5","NP"
"6","HL"
"7","CT"
"8","CW"
"9","HR"
"10","CA"
"11","CS"
"12","SP"
"13","JE"
"14","NB"
"15","GE"
"16","WT"
"17","CG"
"18","AB"
"19",NA
"20","NH"
"21","FC"
"22","SS"
"23","IG"
"24","HY"
"25","CE"
"26","PS"
"27","PV"
"28","CH"
"29","CC"
"30","OT"
"31","BT"
"32","BA"
"33","FW"
"34","CP"
