"","x"
"1","HC"
"2","IC"
"3","ST"
"4","CT"
"5","GT"
"6","NP"
"7","NB"
"8","HL"
"9","CW"
"10","HR"
"11","CA"
"12","CS"
"13","SP"
"14","JE"
"15","FC"
"16","WT"
"17","GE"
"18","NH"
"19",NA
"20","SS"
"21","CG"
"22","AB"
"23","PB"
"24","IG"
"25",""
"26","HY"
"27","CE"
"28","PS"
"29","PV"
"30","CC"
"31","CH"
"32","OT"
"33","ic"
"34","BT"
"35","BA"
"36","FW"
"37","CP"
